sexe;preusuel;annais;nombre
1;JACOB;1900;15
1;JACOB;1901;24
1;JACOB;1902;22
1;JACOB;1903;23
1;JACOB;1904;32
1;JACOB;1905;29
1;JACOB;1906;29
1;JACOB;1907;33
1;JACOB;1908;41
1;JACOB;1909;29
1;JACOB;1910;28
1;JACOB;1911;27
1;JACOB;1912;36
1;JACOB;1913;19
1;JACOB;1914;28
1;JACOB;1915;25
1;JACOB;1916;30
1;JACOB;1917;21
1;JACOB;1918;25
1;JACOB;1919;10
1;JACOB;1920;24
1;JACOB;1921;21
1;JACOB;1922;24
1;JACOB;1923;28
1;JACOB;1924;20
1;JACOB;1925;23
1;JACOB;1926;29
1;JACOB;1927;23
1;JACOB;1928;38
1;JACOB;1929;25
1;JACOB;1930;21
1;JACOB;1931;26
1;JACOB;1932;30
1;JACOB;1933;34
1;JACOB;1934;27
1;JACOB;1935;22
1;JACOB;1936;17
1;JACOB;1937;16
1;JACOB;1938;7
1;JACOB;1939;27
1;JACOB;1940;27
1;JACOB;1941;14
1;JACOB;1942;21
1;JACOB;1943;12
1;JACOB;1944;17
1;JACOB;1945;13
1;JACOB;1946;26
1;JACOB;1947;17
1;JACOB;1948;20
1;JACOB;1949;24
1;JACOB;1950;15
1;JACOB;1951;13
1;JACOB;1952;12
1;JACOB;1953;9
1;JACOB;1954;10
1;JACOB;1955;12
1;JACOB;1956;16
1;JACOB;1957;17
1;JACOB;1958;18
1;JACOB;1959;14
1;JACOB;1960;10
1;JACOB;1961;14
1;JACOB;1962;13
1;JACOB;1963;19
1;JACOB;1964;19
1;JACOB;1965;15
1;JACOB;1966;18
1;JACOB;1967;16
1;JACOB;1968;18
1;JACOB;1969;22
1;JACOB;1970;23
1;JACOB;1971;22
1;JACOB;1972;9
1;JACOB;1973;26
1;JACOB;1974;21
1;JACOB;1975;15
1;JACOB;1976;14
1;JACOB;1977;22
1;JACOB;1978;21
1;JACOB;1979;17
1;JACOB;1980;19
1;JACOB;1981;26
1;JACOB;1982;23
1;JACOB;1983;16
1;JACOB;1984;23
1;JACOB;1985;18
1;JACOB;1986;24
1;JACOB;1987;22
1;JACOB;1988;18
1;JACOB;1989;31
1;JACOB;1990;29
1;JACOB;1991;29
1;JACOB;1992;20
1;JACOB;1993;16
1;JACOB;1994;16
1;JACOB;1995;28
1;JACOB;1996;23
1;JACOB;1997;21
1;JACOB;1998;17
1;JACOB;1999;16
1;JACOB;2000;25
1;JACOB;2001;18
1;JACOB;2002;23
1;JACOB;2003;20
1;JACOB;2004;17
1;JACOB;2005;31
1;JACOB;2006;24
1;JACOB;2007;24
1;JACOB;2008;26
1;JACOB;2009;29
1;JACOB;2010;44
1;JACOB;2011;45
1;JACOB;2012;52
1;JACOB;2013;56
1;JACOB;2014;56
1;JACOB;2015;65
1;JACOB;2016;85
1;JACOB;2017;82
1;JACOB;2018;114
1;JACOB;2019;121
1;JACOB;2020;134
1;JACOB;2021;131
1;JACOB;2022;133
