sexe;preusuel;annais;nombre
1;JIMY;1956;5
1;JIMY;1962;3
1;JIMY;1963;3
1;JIMY;1964;3
1;JIMY;1967;5
1;JIMY;1969;5
1;JIMY;1970;5
1;JIMY;1971;14
1;JIMY;1972;4
1;JIMY;1973;9
1;JIMY;1974;9
1;JIMY;1975;7
1;JIMY;1976;3
1;JIMY;1977;3
1;JIMY;1978;8
1;JIMY;1979;6
1;JIMY;1980;5
1;JIMY;1981;9
1;JIMY;1982;4
1;JIMY;1984;6
1;JIMY;1986;6
1;JIMY;1987;3
1;JIMY;1989;5
1;JIMY;1990;11
1;JIMY;1991;10
1;JIMY;1992;9
1;JIMY;1993;6
1;JIMY;1994;14
1;JIMY;1995;9
1;JIMY;1996;13
1;JIMY;1997;14
1;JIMY;1998;9
1;JIMY;1999;19
1;JIMY;2000;18
1;JIMY;2001;16
1;JIMY;2002;15
1;JIMY;2003;6
1;JIMY;2004;9
1;JIMY;2005;8
1;JIMY;2006;13
1;JIMY;2007;8
1;JIMY;2008;6
1;JIMY;2009;9
1;JIMY;2010;9
1;JIMY;2011;8
1;JIMY;2012;8
1;JIMY;2013;18
1;JIMY;2014;5
1;JIMY;2015;10
1;JIMY;2016;4
1;JIMY;2017;5
1;JIMY;2019;7
1;JIMY;2022;9
1;JIMY;XXXX;26
