sexe;preusuel;annais;nombre
2;TIPHANIE;1977;7
2;TIPHANIE;1978;3
2;TIPHANIE;1979;9
2;TIPHANIE;1980;12
2;TIPHANIE;1981;117
2;TIPHANIE;1982;80
2;TIPHANIE;1983;183
2;TIPHANIE;1984;182
2;TIPHANIE;1985;209
2;TIPHANIE;1986;251
2;TIPHANIE;1987;272
2;TIPHANIE;1988;250
2;TIPHANIE;1989;266
2;TIPHANIE;1990;265
2;TIPHANIE;1991;261
2;TIPHANIE;1992;259
2;TIPHANIE;1993;229
2;TIPHANIE;1994;217
2;TIPHANIE;1995;184
2;TIPHANIE;1996;157
2;TIPHANIE;1997;173
2;TIPHANIE;1998;113
2;TIPHANIE;1999;110
2;TIPHANIE;2000;94
2;TIPHANIE;2001;98
2;TIPHANIE;2002;74
2;TIPHANIE;2003;71
2;TIPHANIE;2004;58
2;TIPHANIE;2005;55
2;TIPHANIE;2006;33
2;TIPHANIE;2007;44
2;TIPHANIE;2008;35
2;TIPHANIE;2009;25
2;TIPHANIE;2010;22
2;TIPHANIE;2011;15
2;TIPHANIE;2012;19
2;TIPHANIE;2013;15
2;TIPHANIE;2014;13
2;TIPHANIE;2015;6
2;TIPHANIE;2016;6
2;TIPHANIE;2017;5
2;TIPHANIE;2018;6
2;TIPHANIE;2019;6
2;TIPHANIE;2020;3
2;TIPHANIE;2021;5
2;TIPHANIE;XXXX;8
