sexe;preusuel;annais;nombre
1;LAKDAR;1947;5
1;LAKDAR;1949;4
1;LAKDAR;1950;5
1;LAKDAR;1951;3
1;LAKDAR;1952;9
1;LAKDAR;1953;5
1;LAKDAR;1954;4
1;LAKDAR;1955;7
1;LAKDAR;1956;10
1;LAKDAR;1957;11
1;LAKDAR;1958;7
1;LAKDAR;1959;13
1;LAKDAR;1960;10
1;LAKDAR;1961;20
1;LAKDAR;1962;19
1;LAKDAR;1963;16
1;LAKDAR;1964;13
1;LAKDAR;1965;25
1;LAKDAR;1966;23
1;LAKDAR;1967;36
1;LAKDAR;1968;16
1;LAKDAR;1969;25
1;LAKDAR;1970;36
1;LAKDAR;1971;19
1;LAKDAR;1972;26
1;LAKDAR;1973;18
1;LAKDAR;1974;13
1;LAKDAR;1975;10
1;LAKDAR;1976;15
1;LAKDAR;1977;10
1;LAKDAR;1978;11
1;LAKDAR;1979;10
1;LAKDAR;1980;13
1;LAKDAR;1981;13
1;LAKDAR;1982;13
1;LAKDAR;1983;11
1;LAKDAR;1984;9
1;LAKDAR;1985;5
1;LAKDAR;1986;11
1;LAKDAR;1987;6
1;LAKDAR;1988;4
1;LAKDAR;1989;6
1;LAKDAR;1990;5
1;LAKDAR;1991;3
1;LAKDAR;1992;4
1;LAKDAR;1993;4
1;LAKDAR;1994;3
1;LAKDAR;1996;3
1;LAKDAR;1998;3
1;LAKDAR;1999;3
1;LAKDAR;2000;3
1;LAKDAR;2001;5
1;LAKDAR;2002;6
1;LAKDAR;XXXX;10
