sexe;preusuel;annais;nombre
1;VALENTIN;1900;157
1;VALENTIN;1901;177
1;VALENTIN;1902;159
1;VALENTIN;1903;150
1;VALENTIN;1904;142
1;VALENTIN;1905;150
1;VALENTIN;1906;141
1;VALENTIN;1907;153
1;VALENTIN;1908;166
1;VALENTIN;1909;152
1;VALENTIN;1910;163
1;VALENTIN;1911;153
1;VALENTIN;1912;179
1;VALENTIN;1913;158
1;VALENTIN;1914;136
1;VALENTIN;1915;99
1;VALENTIN;1916;83
1;VALENTIN;1917;73
1;VALENTIN;1918;101
1;VALENTIN;1919;76
1;VALENTIN;1920;144
1;VALENTIN;1921;123
1;VALENTIN;1922;127
1;VALENTIN;1923;97
1;VALENTIN;1924;137
1;VALENTIN;1925;115
1;VALENTIN;1926;112
1;VALENTIN;1927;111
1;VALENTIN;1928;110
1;VALENTIN;1929;115
1;VALENTIN;1930;119
1;VALENTIN;1931;125
1;VALENTIN;1932;76
1;VALENTIN;1933;82
1;VALENTIN;1934;62
1;VALENTIN;1935;88
1;VALENTIN;1936;78
1;VALENTIN;1937;60
1;VALENTIN;1938;54
1;VALENTIN;1939;70
1;VALENTIN;1940;59
1;VALENTIN;1941;39
1;VALENTIN;1942;42
1;VALENTIN;1943;53
1;VALENTIN;1944;47
1;VALENTIN;1945;36
1;VALENTIN;1946;50
1;VALENTIN;1947;43
1;VALENTIN;1948;47
1;VALENTIN;1949;44
1;VALENTIN;1950;56
1;VALENTIN;1951;53
1;VALENTIN;1952;45
1;VALENTIN;1953;49
1;VALENTIN;1954;32
1;VALENTIN;1955;51
1;VALENTIN;1956;32
1;VALENTIN;1957;31
1;VALENTIN;1958;60
1;VALENTIN;1959;48
1;VALENTIN;1960;27
1;VALENTIN;1961;34
1;VALENTIN;1962;36
1;VALENTIN;1963;49
1;VALENTIN;1964;37
1;VALENTIN;1965;40
1;VALENTIN;1966;62
1;VALENTIN;1967;36
1;VALENTIN;1968;60
1;VALENTIN;1969;51
1;VALENTIN;1970;34
1;VALENTIN;1971;44
1;VALENTIN;1972;33
1;VALENTIN;1973;59
1;VALENTIN;1974;47
1;VALENTIN;1975;62
1;VALENTIN;1976;55
1;VALENTIN;1977;90
1;VALENTIN;1978;93
1;VALENTIN;1979;100
1;VALENTIN;1980;123
1;VALENTIN;1981;195
1;VALENTIN;1982;244
1;VALENTIN;1983;257
1;VALENTIN;1984;378
1;VALENTIN;1985;503
1;VALENTIN;1986;583
1;VALENTIN;1987;743
1;VALENTIN;1988;993
1;VALENTIN;1989;1660
1;VALENTIN;1990;2323
1;VALENTIN;1991;3059
1;VALENTIN;1992;4567
1;VALENTIN;1993;4246
1;VALENTIN;1994;4685
1;VALENTIN;1995;5320
1;VALENTIN;1996;5775
1;VALENTIN;1997;5549
1;VALENTIN;1998;5602
1;VALENTIN;1999;5601
1;VALENTIN;2000;5105
1;VALENTIN;2001;4308
1;VALENTIN;2002;3850
1;VALENTIN;2003;3387
1;VALENTIN;2004;3023
1;VALENTIN;2005;2797
1;VALENTIN;2006;2669
1;VALENTIN;2007;2435
1;VALENTIN;2008;2171
1;VALENTIN;2009;1961
1;VALENTIN;2010;2003
1;VALENTIN;2011;2086
1;VALENTIN;2012;1917
1;VALENTIN;2013;1997
1;VALENTIN;2014;1950
1;VALENTIN;2015;1932
1;VALENTIN;2016;1788
1;VALENTIN;2017;2043
1;VALENTIN;2018;1704
1;VALENTIN;2019;1586
1;VALENTIN;2020;1526
1;VALENTIN;2021;1363
1;VALENTIN;2022;1378
