sexe;preusuel;annais;nombre
2;ANTA;1974;3
2;ANTA;1984;3
2;ANTA;1985;3
2;ANTA;1988;5
2;ANTA;1989;5
2;ANTA;1991;5
2;ANTA;1992;8
2;ANTA;1993;6
2;ANTA;1994;6
2;ANTA;1995;8
2;ANTA;1996;4
2;ANTA;1997;8
2;ANTA;1999;6
2;ANTA;2000;8
2;ANTA;2001;4
2;ANTA;2002;9
2;ANTA;2003;7
2;ANTA;2004;8
2;ANTA;2005;13
2;ANTA;2006;15
2;ANTA;2007;5
2;ANTA;2008;13
2;ANTA;2009;7
2;ANTA;2010;5
2;ANTA;2011;4
2;ANTA;2012;16
2;ANTA;2013;10
2;ANTA;2014;9
2;ANTA;2015;7
2;ANTA;2016;13
2;ANTA;2017;15
2;ANTA;2018;6
2;ANTA;2019;11
2;ANTA;2020;13
2;ANTA;2021;15
2;ANTA;2022;21
2;ANTA;XXXX;25
