sexe;preusuel;annais;nombre
1;CHAFIK;1961;3
1;CHAFIK;1965;3
1;CHAFIK;1967;4
1;CHAFIK;1968;4
1;CHAFIK;1970;3
1;CHAFIK;1971;6
1;CHAFIK;1972;9
1;CHAFIK;1973;4
1;CHAFIK;1974;15
1;CHAFIK;1975;8
1;CHAFIK;1976;16
1;CHAFIK;1977;15
1;CHAFIK;1978;18
1;CHAFIK;1979;22
1;CHAFIK;1980;28
1;CHAFIK;1981;18
1;CHAFIK;1982;28
1;CHAFIK;1983;28
1;CHAFIK;1984;25
1;CHAFIK;1985;28
1;CHAFIK;1986;25
1;CHAFIK;1987;18
1;CHAFIK;1988;22
1;CHAFIK;1989;18
1;CHAFIK;1990;17
1;CHAFIK;1991;17
1;CHAFIK;1992;14
1;CHAFIK;1993;18
1;CHAFIK;1994;7
1;CHAFIK;1995;7
1;CHAFIK;1996;8
1;CHAFIK;1997;7
1;CHAFIK;1998;6
1;CHAFIK;1999;6
1;CHAFIK;2000;5
1;CHAFIK;2001;9
1;CHAFIK;2002;6
1;CHAFIK;2003;6
1;CHAFIK;2004;9
1;CHAFIK;2005;10
1;CHAFIK;2006;8
1;CHAFIK;2007;10
1;CHAFIK;2008;8
1;CHAFIK;2009;7
1;CHAFIK;2010;5
1;CHAFIK;2011;9
1;CHAFIK;2012;9
1;CHAFIK;2013;3
1;CHAFIK;2014;4
1;CHAFIK;2017;5
1;CHAFIK;2019;5
1;CHAFIK;XXXX;19
