sexe;preusuel;annais;nombre
1;PAOLINO;1923;3
1;PAOLINO;1924;3
1;PAOLINO;1927;3
1;PAOLINO;1928;3
1;PAOLINO;1930;3
1;PAOLINO;1932;3
1;PAOLINO;1959;3
1;PAOLINO;1960;4
1;PAOLINO;1965;3
1;PAOLINO;1966;10
1;PAOLINO;1968;3
1;PAOLINO;1969;4
1;PAOLINO;1971;4
1;PAOLINO;1973;3
1;PAOLINO;1974;3
1;PAOLINO;2004;3
1;PAOLINO;2006;4
1;PAOLINO;2008;7
1;PAOLINO;2009;5
1;PAOLINO;2012;3
1;PAOLINO;2014;8
1;PAOLINO;2015;5
1;PAOLINO;2016;8
1;PAOLINO;2017;5
1;PAOLINO;2018;5
1;PAOLINO;2019;6
1;PAOLINO;2020;4
1;PAOLINO;XXXX;53
