sexe;preusuel;annais;nombre
2;LIDIE;1900;5
2;LIDIE;1901;7
2;LIDIE;1905;7
2;LIDIE;1907;5
2;LIDIE;1908;6
2;LIDIE;1911;6
2;LIDIE;1912;8
2;LIDIE;1913;6
2;LIDIE;1914;9
2;LIDIE;1915;5
2;LIDIE;1918;4
2;LIDIE;1919;3
2;LIDIE;1922;6
2;LIDIE;1923;3
2;LIDIE;1924;7
2;LIDIE;1925;5
2;LIDIE;1926;5
2;LIDIE;1928;6
2;LIDIE;1929;3
2;LIDIE;1930;8
2;LIDIE;1931;4
2;LIDIE;1932;4
2;LIDIE;1934;4
2;LIDIE;1935;4
2;LIDIE;1936;3
2;LIDIE;1938;4
2;LIDIE;1939;3
2;LIDIE;1940;3
2;LIDIE;1941;3
2;LIDIE;1942;4
2;LIDIE;1943;4
2;LIDIE;1947;4
2;LIDIE;1948;3
2;LIDIE;1951;3
2;LIDIE;1952;4
2;LIDIE;1953;3
2;LIDIE;1957;4
2;LIDIE;1959;3
2;LIDIE;1962;3
2;LIDIE;1987;4
2;LIDIE;XXXX;87
