sexe;preusuel;annais;nombre
2;IDALINE;1968;3
2;IDALINE;1973;3
2;IDALINE;1977;5
2;IDALINE;1980;5
2;IDALINE;1984;3
2;IDALINE;1985;3
2;IDALINE;1987;5
2;IDALINE;1988;3
2;IDALINE;1989;6
2;IDALINE;1990;4
2;IDALINE;1991;4
2;IDALINE;1992;3
2;IDALINE;1993;4
2;IDALINE;1994;3
2;IDALINE;1995;5
2;IDALINE;1996;5
2;IDALINE;1998;5
2;IDALINE;1999;5
2;IDALINE;2000;6
2;IDALINE;2001;3
2;IDALINE;2002;4
2;IDALINE;2003;4
2;IDALINE;2005;5
2;IDALINE;2006;3
2;IDALINE;2007;4
2;IDALINE;2008;5
2;IDALINE;2012;3
2;IDALINE;2018;3
2;IDALINE;XXXX;33
