sexe;preusuel;annais;nombre
2;LAURIE;1951;5
2;LAURIE;1952;4
2;LAURIE;1953;5
2;LAURIE;1954;3
2;LAURIE;1955;6
2;LAURIE;1956;3
2;LAURIE;1957;8
2;LAURIE;1958;8
2;LAURIE;1959;7
2;LAURIE;1960;9
2;LAURIE;1961;10
2;LAURIE;1962;4
2;LAURIE;1963;14
2;LAURIE;1964;19
2;LAURIE;1965;10
2;LAURIE;1966;27
2;LAURIE;1967;12
2;LAURIE;1968;32
2;LAURIE;1969;28
2;LAURIE;1970;33
2;LAURIE;1971;35
2;LAURIE;1972;50
2;LAURIE;1973;54
2;LAURIE;1974;108
2;LAURIE;1975;142
2;LAURIE;1976;139
2;LAURIE;1977;186
2;LAURIE;1978;352
2;LAURIE;1979;420
2;LAURIE;1980;475
2;LAURIE;1981;399
2;LAURIE;1982;521
2;LAURIE;1983;585
2;LAURIE;1984;1075
2;LAURIE;1985;973
2;LAURIE;1986;983
2;LAURIE;1987;1261
2;LAURIE;1988;1395
2;LAURIE;1989;1626
2;LAURIE;1990;1597
2;LAURIE;1991;1545
2;LAURIE;1992;1462
2;LAURIE;1993;1314
2;LAURIE;1994;1460
2;LAURIE;1995;1408
2;LAURIE;1996;1314
2;LAURIE;1997;1306
2;LAURIE;1998;1333
2;LAURIE;1999;1384
2;LAURIE;2000;1322
2;LAURIE;2001;1260
2;LAURIE;2002;833
2;LAURIE;2003;358
2;LAURIE;2004;170
2;LAURIE;2005;101
2;LAURIE;2006;66
2;LAURIE;2007;55
2;LAURIE;2008;46
2;LAURIE;2009;38
2;LAURIE;2010;45
2;LAURIE;2011;49
2;LAURIE;2012;35
2;LAURIE;2013;31
2;LAURIE;2014;26
2;LAURIE;2015;26
2;LAURIE;2016;26
2;LAURIE;2017;21
2;LAURIE;2018;23
2;LAURIE;2019;15
2;LAURIE;2020;12
2;LAURIE;2021;13
2;LAURIE;2022;11
2;LAURIE;XXXX;1
