sexe;preusuel;annais;nombre
2;GABRIELA;1956;3
2;GABRIELA;1966;3
2;GABRIELA;1967;5
2;GABRIELA;1968;3
2;GABRIELA;1969;4
2;GABRIELA;1970;6
2;GABRIELA;1971;7
2;GABRIELA;1972;5
2;GABRIELA;1973;3
2;GABRIELA;1974;5
2;GABRIELA;1975;10
2;GABRIELA;1976;8
2;GABRIELA;1977;7
2;GABRIELA;1978;10
2;GABRIELA;1979;15
2;GABRIELA;1980;10
2;GABRIELA;1981;8
2;GABRIELA;1982;5
2;GABRIELA;1983;8
2;GABRIELA;1984;7
2;GABRIELA;1985;4
2;GABRIELA;1986;16
2;GABRIELA;1987;15
2;GABRIELA;1988;14
2;GABRIELA;1989;10
2;GABRIELA;1990;11
2;GABRIELA;1991;19
2;GABRIELA;1992;11
2;GABRIELA;1993;14
2;GABRIELA;1994;11
2;GABRIELA;1995;12
2;GABRIELA;1996;15
2;GABRIELA;1997;19
2;GABRIELA;1998;21
2;GABRIELA;1999;18
2;GABRIELA;2000;28
2;GABRIELA;2001;27
2;GABRIELA;2002;34
2;GABRIELA;2003;22
2;GABRIELA;2004;27
2;GABRIELA;2005;51
2;GABRIELA;2006;36
2;GABRIELA;2007;51
2;GABRIELA;2008;66
2;GABRIELA;2009;71
2;GABRIELA;2010;85
2;GABRIELA;2011;76
2;GABRIELA;2012;101
2;GABRIELA;2013;87
2;GABRIELA;2014;84
2;GABRIELA;2015;124
2;GABRIELA;2016;112
2;GABRIELA;2017;115
2;GABRIELA;2018;134
2;GABRIELA;2019;150
2;GABRIELA;2020;137
2;GABRIELA;2021;119
2;GABRIELA;2022;118
2;GABRIELA;XXXX;19
