sexe;preusuel;annais;nombre
2;MARIE-CÉLINE;1900;3
2;MARIE-CÉLINE;1901;3
2;MARIE-CÉLINE;1913;3
2;MARIE-CÉLINE;1932;4
2;MARIE-CÉLINE;1934;3
2;MARIE-CÉLINE;1937;10
2;MARIE-CÉLINE;1938;3
2;MARIE-CÉLINE;1939;9
2;MARIE-CÉLINE;1940;3
2;MARIE-CÉLINE;1941;8
2;MARIE-CÉLINE;1942;6
2;MARIE-CÉLINE;1944;3
2;MARIE-CÉLINE;1945;5
2;MARIE-CÉLINE;1946;22
2;MARIE-CÉLINE;1947;8
2;MARIE-CÉLINE;1948;18
2;MARIE-CÉLINE;1949;37
2;MARIE-CÉLINE;1950;34
2;MARIE-CÉLINE;1951;43
2;MARIE-CÉLINE;1952;21
2;MARIE-CÉLINE;1953;41
2;MARIE-CÉLINE;1954;51
2;MARIE-CÉLINE;1955;55
2;MARIE-CÉLINE;1956;55
2;MARIE-CÉLINE;1957;41
2;MARIE-CÉLINE;1958;44
2;MARIE-CÉLINE;1959;33
2;MARIE-CÉLINE;1960;58
2;MARIE-CÉLINE;1961;45
2;MARIE-CÉLINE;1962;48
2;MARIE-CÉLINE;1963;49
2;MARIE-CÉLINE;1964;41
2;MARIE-CÉLINE;1965;44
2;MARIE-CÉLINE;1966;45
2;MARIE-CÉLINE;1967;60
2;MARIE-CÉLINE;1968;44
2;MARIE-CÉLINE;1969;47
2;MARIE-CÉLINE;1970;60
2;MARIE-CÉLINE;1971;74
2;MARIE-CÉLINE;1972;70
2;MARIE-CÉLINE;1973;49
2;MARIE-CÉLINE;1974;52
2;MARIE-CÉLINE;1975;62
2;MARIE-CÉLINE;1976;48
2;MARIE-CÉLINE;1977;56
2;MARIE-CÉLINE;1978;49
2;MARIE-CÉLINE;1979;40
2;MARIE-CÉLINE;1980;44
2;MARIE-CÉLINE;1981;50
2;MARIE-CÉLINE;1982;40
2;MARIE-CÉLINE;1983;36
2;MARIE-CÉLINE;1984;41
2;MARIE-CÉLINE;1985;33
2;MARIE-CÉLINE;1986;36
2;MARIE-CÉLINE;1987;23
2;MARIE-CÉLINE;1988;30
2;MARIE-CÉLINE;1989;27
2;MARIE-CÉLINE;1990;21
2;MARIE-CÉLINE;1991;12
2;MARIE-CÉLINE;1992;16
2;MARIE-CÉLINE;1993;18
2;MARIE-CÉLINE;1994;9
2;MARIE-CÉLINE;1995;12
2;MARIE-CÉLINE;1996;10
2;MARIE-CÉLINE;1997;6
2;MARIE-CÉLINE;1998;6
2;MARIE-CÉLINE;1999;13
2;MARIE-CÉLINE;2000;7
2;MARIE-CÉLINE;2001;4
2;MARIE-CÉLINE;2006;4
2;MARIE-CÉLINE;2012;3
2;MARIE-CÉLINE;XXXX;57
