sexe;preusuel;annais;nombre
2;GAËLLE;1954;3
2;GAËLLE;1957;6
2;GAËLLE;1958;5
2;GAËLLE;1959;7
2;GAËLLE;1960;7
2;GAËLLE;1961;9
2;GAËLLE;1962;13
2;GAËLLE;1963;15
2;GAËLLE;1964;19
2;GAËLLE;1965;27
2;GAËLLE;1966;38
2;GAËLLE;1967;62
2;GAËLLE;1968;94
2;GAËLLE;1969;95
2;GAËLLE;1970;155
2;GAËLLE;1971;212
2;GAËLLE;1972;303
2;GAËLLE;1973;328
2;GAËLLE;1974;322
2;GAËLLE;1975;317
2;GAËLLE;1976;394
2;GAËLLE;1977;524
2;GAËLLE;1978;487
2;GAËLLE;1979;500
2;GAËLLE;1980;640
2;GAËLLE;1981;668
2;GAËLLE;1982;821
2;GAËLLE;1983;711
2;GAËLLE;1984;687
2;GAËLLE;1985;612
2;GAËLLE;1986;525
2;GAËLLE;1987;486
2;GAËLLE;1988;418
2;GAËLLE;1989;347
2;GAËLLE;1990;265
2;GAËLLE;1991;204
2;GAËLLE;1992;133
2;GAËLLE;1993;140
2;GAËLLE;1994;109
2;GAËLLE;1995;130
2;GAËLLE;1996;202
2;GAËLLE;1997;238
2;GAËLLE;1998;239
2;GAËLLE;1999;44
2;GAËLLE;2000;3
2;GAËLLE;2001;3
2;GAËLLE;2002;4
2;GAËLLE;2010;36
2;GAËLLE;2011;75
2;GAËLLE;2012;104
2;GAËLLE;2013;108
2;GAËLLE;2014;98
2;GAËLLE;2015;86
2;GAËLLE;2016;78
2;GAËLLE;2017;80
2;GAËLLE;2018;81
2;GAËLLE;2019;82
2;GAËLLE;2020;55
2;GAËLLE;2021;66
2;GAËLLE;2022;54
2;GAËLLE;XXXX;17
