sexe;preusuel;annais;nombre
1;BONAVENTURE;1900;14
1;BONAVENTURE;1901;15
1;BONAVENTURE;1902;12
1;BONAVENTURE;1903;11
1;BONAVENTURE;1904;10
1;BONAVENTURE;1905;13
1;BONAVENTURE;1906;16
1;BONAVENTURE;1907;8
1;BONAVENTURE;1908;9
1;BONAVENTURE;1909;6
1;BONAVENTURE;1910;9
1;BONAVENTURE;1911;9
1;BONAVENTURE;1912;15
1;BONAVENTURE;1913;7
1;BONAVENTURE;1914;10
1;BONAVENTURE;1915;8
1;BONAVENTURE;1916;5
1;BONAVENTURE;1917;6
1;BONAVENTURE;1918;7
1;BONAVENTURE;1919;11
1;BONAVENTURE;1920;9
1;BONAVENTURE;1921;7
1;BONAVENTURE;1922;6
1;BONAVENTURE;1923;10
1;BONAVENTURE;1924;8
1;BONAVENTURE;1925;11
1;BONAVENTURE;1926;9
1;BONAVENTURE;1927;3
1;BONAVENTURE;1928;4
1;BONAVENTURE;1929;9
1;BONAVENTURE;1930;6
1;BONAVENTURE;1931;5
1;BONAVENTURE;1932;4
1;BONAVENTURE;1933;6
1;BONAVENTURE;1934;3
1;BONAVENTURE;1935;3
1;BONAVENTURE;1936;6
1;BONAVENTURE;1937;5
1;BONAVENTURE;1938;6
1;BONAVENTURE;1940;4
1;BONAVENTURE;1942;3
1;BONAVENTURE;1943;3
1;BONAVENTURE;1945;4
1;BONAVENTURE;1946;3
1;BONAVENTURE;1947;5
1;BONAVENTURE;1949;3
1;BONAVENTURE;1950;4
1;BONAVENTURE;1951;3
1;BONAVENTURE;1952;3
1;BONAVENTURE;1953;6
1;BONAVENTURE;1998;3
1;BONAVENTURE;XXXX;53
