sexe;preusuel;annais;nombre
1;ELIOTT;1983;3
1;ELIOTT;1984;3
1;ELIOTT;1985;11
1;ELIOTT;1986;5
1;ELIOTT;1987;28
1;ELIOTT;1988;27
1;ELIOTT;1989;38
1;ELIOTT;1990;64
1;ELIOTT;1991;77
1;ELIOTT;1992;98
1;ELIOTT;1993;113
1;ELIOTT;1994;118
1;ELIOTT;1995;125
1;ELIOTT;1996;146
1;ELIOTT;1997;157
1;ELIOTT;1998;204
1;ELIOTT;1999;311
1;ELIOTT;2000;362
1;ELIOTT;2001;399
1;ELIOTT;2002;567
1;ELIOTT;2003;626
1;ELIOTT;2004;766
1;ELIOTT;2005;847
1;ELIOTT;2006;877
1;ELIOTT;2007;981
1;ELIOTT;2008;1027
1;ELIOTT;2009;1133
1;ELIOTT;2010;1065
1;ELIOTT;2011;1190
1;ELIOTT;2012;1247
1;ELIOTT;2013;1035
1;ELIOTT;2014;1107
1;ELIOTT;2015;1161
1;ELIOTT;2016;1280
1;ELIOTT;2017;1492
1;ELIOTT;2018;1405
1;ELIOTT;2019;1502
1;ELIOTT;2020;1527
1;ELIOTT;2021;1538
1;ELIOTT;2022;1420
1;ELIOTT;XXXX;14
