sexe;preusuel;annais;nombre
1;AUGUSTO;1924;5
1;AUGUSTO;1925;3
1;AUGUSTO;1926;3
1;AUGUSTO;1927;4
1;AUGUSTO;1931;3
1;AUGUSTO;1958;3
1;AUGUSTO;1961;5
1;AUGUSTO;1962;10
1;AUGUSTO;1964;4
1;AUGUSTO;1965;7
1;AUGUSTO;1966;13
1;AUGUSTO;1967;21
1;AUGUSTO;1968;17
1;AUGUSTO;1969;23
1;AUGUSTO;1970;24
1;AUGUSTO;1971;31
1;AUGUSTO;1972;36
1;AUGUSTO;1973;24
1;AUGUSTO;1974;21
1;AUGUSTO;1975;13
1;AUGUSTO;1976;10
1;AUGUSTO;1977;6
1;AUGUSTO;1978;8
1;AUGUSTO;1979;9
1;AUGUSTO;1980;7
1;AUGUSTO;1981;5
1;AUGUSTO;1982;3
1;AUGUSTO;1994;3
1;AUGUSTO;1996;4
1;AUGUSTO;1999;3
1;AUGUSTO;2001;3
1;AUGUSTO;2003;3
1;AUGUSTO;2005;3
1;AUGUSTO;2009;4
1;AUGUSTO;2012;3
1;AUGUSTO;2013;3
1;AUGUSTO;2015;4
1;AUGUSTO;2016;6
1;AUGUSTO;2019;5
1;AUGUSTO;2021;3
1;AUGUSTO;2022;6
1;AUGUSTO;XXXX;76
