sexe;preusuel;annais;nombre
1;VINCENT;1900;271
1;VINCENT;1901;261
1;VINCENT;1902;280
1;VINCENT;1903;266
1;VINCENT;1904;307
1;VINCENT;1905;342
1;VINCENT;1906;345
1;VINCENT;1907;287
1;VINCENT;1908;291
1;VINCENT;1909;325
1;VINCENT;1910;316
1;VINCENT;1911;340
1;VINCENT;1912;333
1;VINCENT;1913;367
1;VINCENT;1914;328
1;VINCENT;1915;202
1;VINCENT;1916;219
1;VINCENT;1917;234
1;VINCENT;1918;241
1;VINCENT;1919;260
1;VINCENT;1920;382
1;VINCENT;1921;355
1;VINCENT;1922;359
1;VINCENT;1923;376
1;VINCENT;1924;416
1;VINCENT;1925;348
1;VINCENT;1926;376
1;VINCENT;1927;377
1;VINCENT;1928;352
1;VINCENT;1929;336
1;VINCENT;1930;374
1;VINCENT;1931;312
1;VINCENT;1932;325
1;VINCENT;1933;323
1;VINCENT;1934;293
1;VINCENT;1935;288
1;VINCENT;1936;227
1;VINCENT;1937;236
1;VINCENT;1938;231
1;VINCENT;1939;236
1;VINCENT;1940;251
1;VINCENT;1941;216
1;VINCENT;1942;195
1;VINCENT;1943;209
1;VINCENT;1944;217
1;VINCENT;1945;243
1;VINCENT;1946;346
1;VINCENT;1947;347
1;VINCENT;1948;469
1;VINCENT;1949;508
1;VINCENT;1950;571
1;VINCENT;1951;580
1;VINCENT;1952;609
1;VINCENT;1953;571
1;VINCENT;1954;618
1;VINCENT;1955;721
1;VINCENT;1956;895
1;VINCENT;1957;1106
1;VINCENT;1958;1243
1;VINCENT;1959;1416
1;VINCENT;1960;1924
1;VINCENT;1961;2123
1;VINCENT;1962;2505
1;VINCENT;1963;2584
1;VINCENT;1964;2933
1;VINCENT;1965;3206
1;VINCENT;1966;3267
1;VINCENT;1967;3382
1;VINCENT;1968;4069
1;VINCENT;1969;4393
1;VINCENT;1970;4923
1;VINCENT;1971;5494
1;VINCENT;1972;6171
1;VINCENT;1973;5765
1;VINCENT;1974;5649
1;VINCENT;1975;5732
1;VINCENT;1976;5581
1;VINCENT;1977;6094
1;VINCENT;1978;5772
1;VINCENT;1979;6443
1;VINCENT;1980;7093
1;VINCENT;1981;7124
1;VINCENT;1982;6812
1;VINCENT;1983;6414
1;VINCENT;1984;6309
1;VINCENT;1985;6148
1;VINCENT;1986;5947
1;VINCENT;1987;5517
1;VINCENT;1988;5147
1;VINCENT;1989;5544
1;VINCENT;1990;5231
1;VINCENT;1991;5177
1;VINCENT;1992;4588
1;VINCENT;1993;4243
1;VINCENT;1994;4284
1;VINCENT;1995;4222
1;VINCENT;1996;4458
1;VINCENT;1997;3864
1;VINCENT;1998;3413
1;VINCENT;1999;3040
1;VINCENT;2000;2782
1;VINCENT;2001;2229
1;VINCENT;2002;1835
1;VINCENT;2003;1609
1;VINCENT;2004;1224
1;VINCENT;2005;1017
1;VINCENT;2006;932
1;VINCENT;2007;715
1;VINCENT;2008;586
1;VINCENT;2009;532
1;VINCENT;2010;430
1;VINCENT;2011;428
1;VINCENT;2012;361
1;VINCENT;2013;249
1;VINCENT;2014;254
1;VINCENT;2015;216
1;VINCENT;2016;180
1;VINCENT;2017;160
1;VINCENT;2018;149
1;VINCENT;2019;105
1;VINCENT;2020;89
1;VINCENT;2021;75
1;VINCENT;2022;62
