sexe;preusuel;annais;nombre
1;YOUNESS;1972;4
1;YOUNESS;1973;5
1;YOUNESS;1975;8
1;YOUNESS;1976;7
1;YOUNESS;1977;10
1;YOUNESS;1978;20
1;YOUNESS;1979;13
1;YOUNESS;1980;21
1;YOUNESS;1981;29
1;YOUNESS;1982;28
1;YOUNESS;1983;32
1;YOUNESS;1984;30
1;YOUNESS;1985;33
1;YOUNESS;1986;43
1;YOUNESS;1987;32
1;YOUNESS;1988;36
1;YOUNESS;1989;33
1;YOUNESS;1990;42
1;YOUNESS;1991;45
1;YOUNESS;1992;40
1;YOUNESS;1993;53
1;YOUNESS;1994;56
1;YOUNESS;1995;66
1;YOUNESS;1996;61
1;YOUNESS;1997;70
1;YOUNESS;1998;68
1;YOUNESS;1999;70
1;YOUNESS;2000;91
1;YOUNESS;2001;76
1;YOUNESS;2002;78
1;YOUNESS;2003;79
1;YOUNESS;2004;80
1;YOUNESS;2005;86
1;YOUNESS;2006;87
1;YOUNESS;2007;72
1;YOUNESS;2008;82
1;YOUNESS;2009;71
1;YOUNESS;2010;101
1;YOUNESS;2011;108
1;YOUNESS;2012;117
1;YOUNESS;2013;106
1;YOUNESS;2014;128
1;YOUNESS;2015;120
1;YOUNESS;2016;94
1;YOUNESS;2017;92
1;YOUNESS;2018;71
1;YOUNESS;2019;76
1;YOUNESS;2020;59
1;YOUNESS;2021;70
1;YOUNESS;2022;58
1;YOUNESS;XXXX;6
