sexe;preusuel;annais;nombre
1;JEAN-ALBERT;1913;3
1;JEAN-ALBERT;1914;5
1;JEAN-ALBERT;1923;4
1;JEAN-ALBERT;1924;4
1;JEAN-ALBERT;1926;3
1;JEAN-ALBERT;1929;3
1;JEAN-ALBERT;1932;3
1;JEAN-ALBERT;1937;4
1;JEAN-ALBERT;1938;3
1;JEAN-ALBERT;1940;6
1;JEAN-ALBERT;1941;5
1;JEAN-ALBERT;1945;3
1;JEAN-ALBERT;1946;8
1;JEAN-ALBERT;1947;8
1;JEAN-ALBERT;1948;13
1;JEAN-ALBERT;1949;13
1;JEAN-ALBERT;1950;8
1;JEAN-ALBERT;1951;12
1;JEAN-ALBERT;1952;9
1;JEAN-ALBERT;1953;8
1;JEAN-ALBERT;1954;17
1;JEAN-ALBERT;1955;12
1;JEAN-ALBERT;1956;11
1;JEAN-ALBERT;1957;8
1;JEAN-ALBERT;1958;12
1;JEAN-ALBERT;1959;20
1;JEAN-ALBERT;1960;9
1;JEAN-ALBERT;1961;17
1;JEAN-ALBERT;1962;16
1;JEAN-ALBERT;1963;13
1;JEAN-ALBERT;1964;10
1;JEAN-ALBERT;1965;12
1;JEAN-ALBERT;1966;14
1;JEAN-ALBERT;1967;18
1;JEAN-ALBERT;1968;9
1;JEAN-ALBERT;1969;11
1;JEAN-ALBERT;1970;4
1;JEAN-ALBERT;1971;8
1;JEAN-ALBERT;1972;6
1;JEAN-ALBERT;1973;8
1;JEAN-ALBERT;1974;5
1;JEAN-ALBERT;1975;5
1;JEAN-ALBERT;1977;4
1;JEAN-ALBERT;1978;4
1;JEAN-ALBERT;1980;3
1;JEAN-ALBERT;1982;3
1;JEAN-ALBERT;1985;5
1;JEAN-ALBERT;1988;5
1;JEAN-ALBERT;1993;3
1;JEAN-ALBERT;1995;4
1;JEAN-ALBERT;1996;4
1;JEAN-ALBERT;1997;3
1;JEAN-ALBERT;1999;3
1;JEAN-ALBERT;XXXX;60
