sexe;preusuel;annais;nombre
1;PIERRICK;1931;3
1;PIERRICK;1937;3
1;PIERRICK;1939;4
1;PIERRICK;1940;5
1;PIERRICK;1941;3
1;PIERRICK;1942;3
1;PIERRICK;1944;5
1;PIERRICK;1945;5
1;PIERRICK;1946;16
1;PIERRICK;1947;25
1;PIERRICK;1948;35
1;PIERRICK;1949;37
1;PIERRICK;1950;61
1;PIERRICK;1951;65
1;PIERRICK;1952;109
1;PIERRICK;1953;146
1;PIERRICK;1954;165
1;PIERRICK;1955;200
1;PIERRICK;1956;245
1;PIERRICK;1957;291
1;PIERRICK;1958;281
1;PIERRICK;1959;347
1;PIERRICK;1960;334
1;PIERRICK;1961;332
1;PIERRICK;1962;326
1;PIERRICK;1963;361
1;PIERRICK;1964;337
1;PIERRICK;1965;341
1;PIERRICK;1966;325
1;PIERRICK;1967;272
1;PIERRICK;1968;249
1;PIERRICK;1969;259
1;PIERRICK;1970;180
1;PIERRICK;1971;171
1;PIERRICK;1972;215
1;PIERRICK;1973;200
1;PIERRICK;1974;268
1;PIERRICK;1975;204
1;PIERRICK;1976;218
1;PIERRICK;1977;226
1;PIERRICK;1978;302
1;PIERRICK;1979;291
1;PIERRICK;1980;339
1;PIERRICK;1981;399
1;PIERRICK;1982;468
1;PIERRICK;1983;406
1;PIERRICK;1984;415
1;PIERRICK;1985;457
1;PIERRICK;1986;453
1;PIERRICK;1987;450
1;PIERRICK;1988;470
1;PIERRICK;1989;509
1;PIERRICK;1990;503
1;PIERRICK;1991;499
1;PIERRICK;1992;498
1;PIERRICK;1993;390
1;PIERRICK;1994;420
1;PIERRICK;1995;418
1;PIERRICK;1996;443
1;PIERRICK;1997;376
1;PIERRICK;1998;340
1;PIERRICK;1999;318
1;PIERRICK;2000;279
1;PIERRICK;2001;274
1;PIERRICK;2002;232
1;PIERRICK;2003;197
1;PIERRICK;2004;183
1;PIERRICK;2005;268
1;PIERRICK;2006;234
1;PIERRICK;2007;173
1;PIERRICK;2008;132
1;PIERRICK;2009;104
1;PIERRICK;2010;92
1;PIERRICK;2011;70
1;PIERRICK;2012;60
1;PIERRICK;2013;54
1;PIERRICK;2014;58
1;PIERRICK;2015;41
1;PIERRICK;2016;21
1;PIERRICK;2017;30
1;PIERRICK;2018;16
1;PIERRICK;2019;10
1;PIERRICK;2020;8
1;PIERRICK;2021;10
1;PIERRICK;2022;10
1;PIERRICK;XXXX;3
