sexe;preusuel;annais;nombre
2;MAROUSSIA;1947;3
2;MAROUSSIA;1952;3
2;MAROUSSIA;1953;3
2;MAROUSSIA;1967;3
2;MAROUSSIA;1971;6
2;MAROUSSIA;1972;4
2;MAROUSSIA;1973;7
2;MAROUSSIA;1974;10
2;MAROUSSIA;1975;3
2;MAROUSSIA;1976;3
2;MAROUSSIA;1977;8
2;MAROUSSIA;1978;7
2;MAROUSSIA;1980;11
2;MAROUSSIA;1981;13
2;MAROUSSIA;1982;4
2;MAROUSSIA;1983;10
2;MAROUSSIA;1984;12
2;MAROUSSIA;1985;10
2;MAROUSSIA;1987;16
2;MAROUSSIA;1988;12
2;MAROUSSIA;1989;11
2;MAROUSSIA;1990;11
2;MAROUSSIA;1991;18
2;MAROUSSIA;1992;26
2;MAROUSSIA;1993;33
2;MAROUSSIA;1994;30
2;MAROUSSIA;1995;31
2;MAROUSSIA;1996;38
2;MAROUSSIA;1997;24
2;MAROUSSIA;1998;16
2;MAROUSSIA;1999;20
2;MAROUSSIA;2000;16
2;MAROUSSIA;2001;14
2;MAROUSSIA;2002;6
2;MAROUSSIA;2003;7
2;MAROUSSIA;2004;9
2;MAROUSSIA;2005;8
2;MAROUSSIA;2006;10
2;MAROUSSIA;2007;9
2;MAROUSSIA;2008;6
2;MAROUSSIA;2009;7
2;MAROUSSIA;2012;6
2;MAROUSSIA;2013;7
2;MAROUSSIA;2014;7
2;MAROUSSIA;2016;3
2;MAROUSSIA;2017;6
2;MAROUSSIA;2019;4
2;MAROUSSIA;2020;4
2;MAROUSSIA;2021;3
2;MAROUSSIA;XXXX;29
