sexe;preusuel;annais;nombre
1;GAYLORD;1979;12
1;GAYLORD;1980;198
1;GAYLORD;1981;385
1;GAYLORD;1982;212
1;GAYLORD;1983;108
1;GAYLORD;1984;88
1;GAYLORD;1985;93
1;GAYLORD;1986;173
1;GAYLORD;1987;110
1;GAYLORD;1988;67
1;GAYLORD;1989;95
1;GAYLORD;1990;89
1;GAYLORD;1991;83
1;GAYLORD;1992;71
1;GAYLORD;1993;54
1;GAYLORD;1994;37
1;GAYLORD;1995;29
1;GAYLORD;1996;35
1;GAYLORD;1997;32
1;GAYLORD;1998;24
1;GAYLORD;1999;18
1;GAYLORD;2000;23
1;GAYLORD;2001;22
1;GAYLORD;2002;20
1;GAYLORD;2003;18
1;GAYLORD;2004;13
1;GAYLORD;2005;14
1;GAYLORD;2006;19
1;GAYLORD;2007;8
1;GAYLORD;2008;7
1;GAYLORD;2009;3
1;GAYLORD;2010;3
1;GAYLORD;2011;4
1;GAYLORD;2012;3
1;GAYLORD;2013;3
1;GAYLORD;XXXX;21
