sexe;preusuel;annais;nombre
1;ARNAULD;1900;3
1;ARNAULD;1913;3
1;ARNAULD;1922;7
1;ARNAULD;1923;3
1;ARNAULD;1926;5
1;ARNAULD;1930;3
1;ARNAULD;1934;4
1;ARNAULD;1936;4
1;ARNAULD;1937;3
1;ARNAULD;1938;3
1;ARNAULD;1939;3
1;ARNAULD;1941;6
1;ARNAULD;1943;8
1;ARNAULD;1945;5
1;ARNAULD;1946;5
1;ARNAULD;1947;6
1;ARNAULD;1948;10
1;ARNAULD;1949;13
1;ARNAULD;1950;6
1;ARNAULD;1951;14
1;ARNAULD;1952;9
1;ARNAULD;1953;13
1;ARNAULD;1954;7
1;ARNAULD;1955;9
1;ARNAULD;1956;16
1;ARNAULD;1957;13
1;ARNAULD;1958;22
1;ARNAULD;1959;13
1;ARNAULD;1960;26
1;ARNAULD;1961;35
1;ARNAULD;1962;34
1;ARNAULD;1963;48
1;ARNAULD;1964;56
1;ARNAULD;1965;37
1;ARNAULD;1966;50
1;ARNAULD;1967;57
1;ARNAULD;1968;56
1;ARNAULD;1969;60
1;ARNAULD;1970;84
1;ARNAULD;1971;111
1;ARNAULD;1972;70
1;ARNAULD;1973;76
1;ARNAULD;1974;60
1;ARNAULD;1975;53
1;ARNAULD;1976;46
1;ARNAULD;1977;38
1;ARNAULD;1978;35
1;ARNAULD;1979;36
1;ARNAULD;1980;46
1;ARNAULD;1981;28
1;ARNAULD;1982;55
1;ARNAULD;1983;17
1;ARNAULD;1984;26
1;ARNAULD;1985;13
1;ARNAULD;1986;20
1;ARNAULD;1987;13
1;ARNAULD;1988;6
1;ARNAULD;1989;11
1;ARNAULD;1990;8
1;ARNAULD;1991;10
1;ARNAULD;1992;10
1;ARNAULD;1993;6
1;ARNAULD;1994;5
1;ARNAULD;1995;5
1;ARNAULD;1996;6
1;ARNAULD;1997;3
1;ARNAULD;1998;4
1;ARNAULD;1999;3
1;ARNAULD;2001;6
1;ARNAULD;XXXX;50
