sexe;preusuel;annais;nombre
2;SALEHA;1951;3
2;SALEHA;1952;4
2;SALEHA;1953;5
2;SALEHA;1954;6
2;SALEHA;1955;9
2;SALEHA;1956;10
2;SALEHA;1957;8
2;SALEHA;1958;13
2;SALEHA;1959;14
2;SALEHA;1960;17
2;SALEHA;1961;15
2;SALEHA;1962;21
2;SALEHA;1963;21
2;SALEHA;1964;22
2;SALEHA;1965;29
2;SALEHA;1966;25
2;SALEHA;1967;24
2;SALEHA;1968;27
2;SALEHA;1969;22
2;SALEHA;1970;19
2;SALEHA;1971;16
2;SALEHA;1972;20
2;SALEHA;1973;20
2;SALEHA;1974;15
2;SALEHA;1975;16
2;SALEHA;1976;3
2;SALEHA;1977;8
2;SALEHA;1978;6
2;SALEHA;1979;6
2;SALEHA;1981;8
2;SALEHA;1982;7
2;SALEHA;1983;4
2;SALEHA;1984;4
2;SALEHA;1985;8
2;SALEHA;1986;4
2;SALEHA;1987;6
2;SALEHA;1988;6
2;SALEHA;1989;7
2;SALEHA;1991;4
2;SALEHA;1992;4
2;SALEHA;1993;7
2;SALEHA;1994;3
2;SALEHA;1995;5
2;SALEHA;1996;5
2;SALEHA;1998;6
2;SALEHA;1999;5
2;SALEHA;2000;3
2;SALEHA;2001;3
2;SALEHA;2003;4
2;SALEHA;2006;3
2;SALEHA;2007;4
2;SALEHA;2011;4
2;SALEHA;2017;3
2;SALEHA;XXXX;23
