sexe;preusuel;annais;nombre
2;MATHEA;1900;5
2;MATHEA;1902;3
2;MATHEA;1903;4
2;MATHEA;1905;3
2;MATHEA;1907;5
2;MATHEA;1909;4
2;MATHEA;1910;3
2;MATHEA;1911;4
2;MATHEA;1912;3
2;MATHEA;1913;3
2;MATHEA;1914;5
2;MATHEA;1915;5
2;MATHEA;1918;5
2;MATHEA;1919;3
2;MATHEA;1920;3
2;MATHEA;1921;4
2;MATHEA;1922;3
2;MATHEA;1924;7
2;MATHEA;1925;5
2;MATHEA;1927;3
2;MATHEA;1929;3
2;MATHEA;1930;3
2;MATHEA;1931;5
2;MATHEA;1933;6
2;MATHEA;1935;4
2;MATHEA;1936;9
2;MATHEA;1937;3
2;MATHEA;1939;3
2;MATHEA;1940;5
2;MATHEA;1942;6
2;MATHEA;1943;5
2;MATHEA;1947;3
2;MATHEA;1948;3
2;MATHEA;1950;4
2;MATHEA;1952;3
2;MATHEA;1953;4
2;MATHEA;1955;4
2;MATHEA;1957;6
2;MATHEA;1964;5
2;MATHEA;1965;3
2;MATHEA;1968;4
2;MATHEA;1972;6
2;MATHEA;1973;3
2;MATHEA;1983;3
2;MATHEA;1986;6
2;MATHEA;1989;3
2;MATHEA;1990;3
2;MATHEA;1993;7
2;MATHEA;1994;3
2;MATHEA;1995;9
2;MATHEA;1996;4
2;MATHEA;1997;5
2;MATHEA;1998;9
2;MATHEA;1999;7
2;MATHEA;2000;10
2;MATHEA;2001;16
2;MATHEA;2002;17
2;MATHEA;2003;22
2;MATHEA;2004;12
2;MATHEA;2005;29
2;MATHEA;2006;27
2;MATHEA;2007;25
2;MATHEA;2008;26
2;MATHEA;2009;13
2;MATHEA;2010;12
2;MATHEA;2011;4
2;MATHEA;XXXX;65
