sexe;preusuel;annais;nombre
2;ELFIE;1979;3
2;ELFIE;1980;12
2;ELFIE;1981;3
2;ELFIE;1982;11
2;ELFIE;1983;18
2;ELFIE;1984;11
2;ELFIE;1985;14
2;ELFIE;1986;11
2;ELFIE;1987;9
2;ELFIE;1988;13
2;ELFIE;1989;15
2;ELFIE;1990;9
2;ELFIE;1991;10
2;ELFIE;1992;4
2;ELFIE;1993;6
2;ELFIE;1994;5
2;ELFIE;1995;4
2;ELFIE;1996;3
2;ELFIE;1997;6
2;ELFIE;1998;9
2;ELFIE;1999;4
2;ELFIE;2000;6
2;ELFIE;2001;4
2;ELFIE;2002;8
2;ELFIE;2003;24
2;ELFIE;2004;20
2;ELFIE;2005;22
2;ELFIE;2006;18
2;ELFIE;2007;37
2;ELFIE;2008;37
2;ELFIE;2009;36
2;ELFIE;2010;24
2;ELFIE;2011;26
2;ELFIE;2012;21
2;ELFIE;2013;18
2;ELFIE;2014;13
2;ELFIE;2015;12
2;ELFIE;2016;7
2;ELFIE;2017;10
2;ELFIE;2018;3
2;ELFIE;2019;10
2;ELFIE;2020;6
2;ELFIE;2021;6
2;ELFIE;2022;8
2;ELFIE;XXXX;8
