sexe;preusuel;annais;nombre
1;JEAN-EDOUARD;1946;3
1;JEAN-EDOUARD;1949;6
1;JEAN-EDOUARD;1950;6
1;JEAN-EDOUARD;1951;9
1;JEAN-EDOUARD;1952;3
1;JEAN-EDOUARD;1955;4
1;JEAN-EDOUARD;1956;6
1;JEAN-EDOUARD;1957;4
1;JEAN-EDOUARD;1959;4
1;JEAN-EDOUARD;1960;4
1;JEAN-EDOUARD;1961;4
1;JEAN-EDOUARD;1962;4
1;JEAN-EDOUARD;1963;6
1;JEAN-EDOUARD;1964;4
1;JEAN-EDOUARD;1965;9
1;JEAN-EDOUARD;1967;3
1;JEAN-EDOUARD;1968;4
1;JEAN-EDOUARD;1969;4
1;JEAN-EDOUARD;1970;6
1;JEAN-EDOUARD;1972;6
1;JEAN-EDOUARD;1973;8
1;JEAN-EDOUARD;1974;8
1;JEAN-EDOUARD;1975;8
1;JEAN-EDOUARD;1976;8
1;JEAN-EDOUARD;1977;4
1;JEAN-EDOUARD;1978;6
1;JEAN-EDOUARD;1979;16
1;JEAN-EDOUARD;1980;11
1;JEAN-EDOUARD;1981;14
1;JEAN-EDOUARD;1982;9
1;JEAN-EDOUARD;1983;14
1;JEAN-EDOUARD;1984;16
1;JEAN-EDOUARD;1985;25
1;JEAN-EDOUARD;1986;26
1;JEAN-EDOUARD;1987;14
1;JEAN-EDOUARD;1988;19
1;JEAN-EDOUARD;1989;15
1;JEAN-EDOUARD;1990;13
1;JEAN-EDOUARD;1991;15
1;JEAN-EDOUARD;1992;11
1;JEAN-EDOUARD;1993;15
1;JEAN-EDOUARD;1994;4
1;JEAN-EDOUARD;1995;11
1;JEAN-EDOUARD;1996;11
1;JEAN-EDOUARD;1998;4
1;JEAN-EDOUARD;2000;5
1;JEAN-EDOUARD;2001;9
1;JEAN-EDOUARD;2002;10
1;JEAN-EDOUARD;2003;5
1;JEAN-EDOUARD;2004;6
1;JEAN-EDOUARD;2005;6
1;JEAN-EDOUARD;2006;7
1;JEAN-EDOUARD;2007;4
1;JEAN-EDOUARD;2008;3
1;JEAN-EDOUARD;2009;3
1;JEAN-EDOUARD;2011;5
1;JEAN-EDOUARD;2016;3
1;JEAN-EDOUARD;XXXX;44
