sexe;preusuel;annais;nombre
2;CELIE;1900;16
2;CELIE;1901;29
2;CELIE;1902;18
2;CELIE;1903;24
2;CELIE;1904;17
2;CELIE;1905;27
2;CELIE;1906;19
2;CELIE;1907;21
2;CELIE;1908;14
2;CELIE;1909;16
2;CELIE;1910;21
2;CELIE;1911;14
2;CELIE;1912;17
2;CELIE;1913;15
2;CELIE;1914;16
2;CELIE;1915;6
2;CELIE;1916;10
2;CELIE;1917;8
2;CELIE;1918;12
2;CELIE;1919;4
2;CELIE;1920;8
2;CELIE;1921;6
2;CELIE;1922;9
2;CELIE;1923;5
2;CELIE;1926;5
2;CELIE;1927;4
2;CELIE;1928;6
2;CELIE;1930;3
2;CELIE;1931;3
2;CELIE;1932;6
2;CELIE;1972;3
2;CELIE;1975;4
2;CELIE;1979;8
2;CELIE;1980;3
2;CELIE;1981;5
2;CELIE;1982;3
2;CELIE;1983;9
2;CELIE;1984;9
2;CELIE;1985;15
2;CELIE;1986;11
2;CELIE;1987;16
2;CELIE;1988;14
2;CELIE;1989;21
2;CELIE;1990;34
2;CELIE;1991;30
2;CELIE;1992;21
2;CELIE;1993;23
2;CELIE;1994;42
2;CELIE;1995;30
2;CELIE;1996;22
2;CELIE;1997;23
2;CELIE;1998;30
2;CELIE;1999;35
2;CELIE;2000;33
2;CELIE;2001;36
2;CELIE;2002;35
2;CELIE;2003;23
2;CELIE;2004;25
2;CELIE;2005;23
2;CELIE;2006;30
2;CELIE;2007;43
2;CELIE;2008;39
2;CELIE;2009;32
2;CELIE;2010;28
2;CELIE;2011;11
2;CELIE;2012;6
2;CELIE;2013;4
2;CELIE;2014;3
2;CELIE;2015;4
2;CELIE;XXXX;21
