sexe;preusuel;annais;nombre
2;EMY;1980;3
2;EMY;1982;3
2;EMY;1983;3
2;EMY;1984;5
2;EMY;1985;6
2;EMY;1986;7
2;EMY;1987;14
2;EMY;1988;14
2;EMY;1989;29
2;EMY;1990;18
2;EMY;1991;22
2;EMY;1992;25
2;EMY;1993;27
2;EMY;1994;20
2;EMY;1995;25
2;EMY;1996;31
2;EMY;1997;45
2;EMY;1998;59
2;EMY;1999;71
2;EMY;2000;93
2;EMY;2001;161
2;EMY;2002;156
2;EMY;2003;185
2;EMY;2004;196
2;EMY;2005;245
2;EMY;2006;457
2;EMY;2007;568
2;EMY;2008;679
2;EMY;2009;751
2;EMY;2010;803
2;EMY;2011;860
2;EMY;2012;837
2;EMY;2013;838
2;EMY;2014;876
2;EMY;2015;947
2;EMY;2016;977
2;EMY;2017;920
2;EMY;2018;878
2;EMY;2019;933
2;EMY;2020;983
2;EMY;2021;1156
2;EMY;2022;1118
2;EMY;XXXX;12
