sexe;preusuel;annais;nombre
1;NASREDDINE;1960;4
1;NASREDDINE;1962;5
1;NASREDDINE;1965;3
1;NASREDDINE;1972;3
1;NASREDDINE;1973;3
1;NASREDDINE;1974;4
1;NASREDDINE;1975;4
1;NASREDDINE;1976;4
1;NASREDDINE;1977;3
1;NASREDDINE;1978;3
1;NASREDDINE;1979;8
1;NASREDDINE;1981;6
1;NASREDDINE;1982;4
1;NASREDDINE;1983;4
1;NASREDDINE;1984;7
1;NASREDDINE;1985;6
1;NASREDDINE;1986;5
1;NASREDDINE;1987;4
1;NASREDDINE;1988;7
1;NASREDDINE;1990;4
1;NASREDDINE;1991;8
1;NASREDDINE;1993;9
1;NASREDDINE;1996;7
1;NASREDDINE;1997;4
1;NASREDDINE;2000;3
1;NASREDDINE;2001;3
1;NASREDDINE;2002;5
1;NASREDDINE;2005;6
1;NASREDDINE;2006;4
1;NASREDDINE;2007;4
1;NASREDDINE;2008;9
1;NASREDDINE;2009;9
1;NASREDDINE;2012;6
1;NASREDDINE;2014;7
1;NASREDDINE;2016;4
1;NASREDDINE;2019;3
1;NASREDDINE;2020;5
1;NASREDDINE;2021;4
1;NASREDDINE;2022;3
1;NASREDDINE;XXXX;29
