sexe;preusuel;annais;nombre
2;SEVRINE;1969;4
2;SEVRINE;1970;16
2;SEVRINE;1971;28
2;SEVRINE;1972;13
2;SEVRINE;1973;20
2;SEVRINE;1974;11
2;SEVRINE;1975;11
2;SEVRINE;1976;15
2;SEVRINE;1977;17
2;SEVRINE;1978;13
2;SEVRINE;1979;12
2;SEVRINE;1980;16
2;SEVRINE;1981;15
2;SEVRINE;1982;13
2;SEVRINE;1983;15
2;SEVRINE;1984;5
2;SEVRINE;1985;5
2;SEVRINE;1986;9
2;SEVRINE;1987;3
2;SEVRINE;1989;5
2;SEVRINE;1990;4
2;SEVRINE;1991;6
2;SEVRINE;1993;5
2;SEVRINE;1995;3
2;SEVRINE;1996;3
2;SEVRINE;2009;3
2;SEVRINE;XXXX;23
