sexe;preusuel;annais;nombre
1;DONAT;1900;11
1;DONAT;1901;10
1;DONAT;1902;20
1;DONAT;1903;11
1;DONAT;1904;12
1;DONAT;1905;16
1;DONAT;1906;10
1;DONAT;1907;14
1;DONAT;1908;19
1;DONAT;1909;14
1;DONAT;1910;22
1;DONAT;1911;20
1;DONAT;1912;22
1;DONAT;1913;15
1;DONAT;1914;14
1;DONAT;1915;9
1;DONAT;1916;9
1;DONAT;1917;12
1;DONAT;1918;12
1;DONAT;1919;16
1;DONAT;1920;17
1;DONAT;1921;21
1;DONAT;1922;21
1;DONAT;1923;16
1;DONAT;1924;22
1;DONAT;1925;20
1;DONAT;1926;22
1;DONAT;1927;23
1;DONAT;1928;24
1;DONAT;1929;23
1;DONAT;1930;21
1;DONAT;1931;16
1;DONAT;1932;21
1;DONAT;1933;22
1;DONAT;1934;19
1;DONAT;1935;15
1;DONAT;1936;24
1;DONAT;1937;19
1;DONAT;1938;15
1;DONAT;1939;20
1;DONAT;1940;23
1;DONAT;1941;8
1;DONAT;1942;10
1;DONAT;1943;6
1;DONAT;1944;6
1;DONAT;1945;18
1;DONAT;1946;10
1;DONAT;1947;5
1;DONAT;1948;18
1;DONAT;1949;12
1;DONAT;1950;9
1;DONAT;1951;11
1;DONAT;1952;12
1;DONAT;1953;12
1;DONAT;1954;9
1;DONAT;1955;11
1;DONAT;1956;8
1;DONAT;1957;6
1;DONAT;1958;5
1;DONAT;1959;6
1;DONAT;1960;4
1;DONAT;1961;8
1;DONAT;1963;7
1;DONAT;1964;3
1;DONAT;1965;8
1;DONAT;1966;5
1;DONAT;1967;6
1;DONAT;1968;7
1;DONAT;1969;7
1;DONAT;1970;7
1;DONAT;1971;4
1;DONAT;1972;9
1;DONAT;1973;6
1;DONAT;1974;5
1;DONAT;1976;7
1;DONAT;1978;6
1;DONAT;1979;9
1;DONAT;1980;4
1;DONAT;1981;3
1;DONAT;1982;3
1;DONAT;1983;3
1;DONAT;1985;6
1;DONAT;1988;3
1;DONAT;1989;3
1;DONAT;1992;3
1;DONAT;1994;4
1;DONAT;1995;4
1;DONAT;1998;5
1;DONAT;1999;4
1;DONAT;2000;3
1;DONAT;2001;6
1;DONAT;2002;3
1;DONAT;2003;4
1;DONAT;2005;5
1;DONAT;2006;4
1;DONAT;2008;5
1;DONAT;2014;5
1;DONAT;2016;3
1;DONAT;XXXX;30
