sexe;preusuel;annais;nombre
2;BATOUL;1979;3
2;BATOUL;1982;3
2;BATOUL;1983;3
2;BATOUL;1984;3
2;BATOUL;1985;4
2;BATOUL;1986;4
2;BATOUL;1987;3
2;BATOUL;1988;5
2;BATOUL;1991;5
2;BATOUL;1993;3
2;BATOUL;1994;3
2;BATOUL;1996;3
2;BATOUL;2000;4
2;BATOUL;2001;5
2;BATOUL;2002;5
2;BATOUL;2003;7
2;BATOUL;2004;6
2;BATOUL;2005;3
2;BATOUL;2006;10
2;BATOUL;2008;11
2;BATOUL;2009;9
2;BATOUL;2010;5
2;BATOUL;2011;12
2;BATOUL;2012;7
2;BATOUL;2013;8
2;BATOUL;2014;9
2;BATOUL;2015;6
2;BATOUL;2016;12
2;BATOUL;2017;10
2;BATOUL;2018;11
2;BATOUL;2019;10
2;BATOUL;2020;9
2;BATOUL;2021;11
2;BATOUL;2022;12
2;BATOUL;XXXX;21
