sexe;preusuel;annais;nombre
2;CLERVIE;1983;3
2;CLERVIE;1986;8
2;CLERVIE;1987;4
2;CLERVIE;1990;6
2;CLERVIE;1991;9
2;CLERVIE;1992;3
2;CLERVIE;1993;3
2;CLERVIE;1994;5
2;CLERVIE;1995;4
2;CLERVIE;1996;8
2;CLERVIE;1997;8
2;CLERVIE;1998;11
2;CLERVIE;1999;9
2;CLERVIE;2000;8
2;CLERVIE;2001;8
2;CLERVIE;2002;17
2;CLERVIE;2003;12
2;CLERVIE;2004;10
2;CLERVIE;2005;21
2;CLERVIE;2006;10
2;CLERVIE;2007;19
2;CLERVIE;2008;9
2;CLERVIE;2009;13
2;CLERVIE;2010;9
2;CLERVIE;2011;8
2;CLERVIE;2012;11
2;CLERVIE;2013;13
2;CLERVIE;2014;9
2;CLERVIE;2015;7
2;CLERVIE;2016;4
2;CLERVIE;2017;4
2;CLERVIE;2018;6
2;CLERVIE;2019;4
2;CLERVIE;2020;5
2;CLERVIE;2021;4
2;CLERVIE;2022;6
2;CLERVIE;XXXX;19
