sexe;preusuel;annais;nombre
1;MARIAN;1921;4
1;MARIAN;1922;3
1;MARIAN;1923;12
1;MARIAN;1924;35
1;MARIAN;1925;49
1;MARIAN;1926;43
1;MARIAN;1927;42
1;MARIAN;1928;37
1;MARIAN;1929;35
1;MARIAN;1930;50
1;MARIAN;1931;64
1;MARIAN;1932;61
1;MARIAN;1933;34
1;MARIAN;1934;48
1;MARIAN;1935;34
1;MARIAN;1936;14
1;MARIAN;1937;28
1;MARIAN;1938;27
1;MARIAN;1939;29
1;MARIAN;1940;25
1;MARIAN;1941;13
1;MARIAN;1942;13
1;MARIAN;1943;22
1;MARIAN;1944;24
1;MARIAN;1945;23
1;MARIAN;1946;27
1;MARIAN;1947;21
1;MARIAN;1948;21
1;MARIAN;1949;19
1;MARIAN;1950;37
1;MARIAN;1951;28
1;MARIAN;1952;22
1;MARIAN;1953;12
1;MARIAN;1954;24
1;MARIAN;1955;20
1;MARIAN;1956;20
1;MARIAN;1957;10
1;MARIAN;1958;12
1;MARIAN;1959;8
1;MARIAN;1960;15
1;MARIAN;1961;7
1;MARIAN;1962;14
1;MARIAN;1963;15
1;MARIAN;1964;10
1;MARIAN;1965;13
1;MARIAN;1966;8
1;MARIAN;1967;9
1;MARIAN;1968;11
1;MARIAN;1969;11
1;MARIAN;1970;13
1;MARIAN;1971;15
1;MARIAN;1972;14
1;MARIAN;1973;3
1;MARIAN;1974;6
1;MARIAN;1975;3
1;MARIAN;1976;11
1;MARIAN;1977;4
1;MARIAN;1978;5
1;MARIAN;1979;11
1;MARIAN;1980;7
1;MARIAN;1981;10
1;MARIAN;1982;10
1;MARIAN;1983;10
1;MARIAN;1984;11
1;MARIAN;1985;7
1;MARIAN;1986;14
1;MARIAN;1987;16
1;MARIAN;1988;14
1;MARIAN;1989;21
1;MARIAN;1990;17
1;MARIAN;1991;16
1;MARIAN;1992;17
1;MARIAN;1993;16
1;MARIAN;1994;17
1;MARIAN;1995;17
1;MARIAN;1996;16
1;MARIAN;1997;26
1;MARIAN;1998;24
1;MARIAN;1999;16
1;MARIAN;2000;22
1;MARIAN;2001;23
1;MARIAN;2002;12
1;MARIAN;2003;28
1;MARIAN;2004;26
1;MARIAN;2005;16
1;MARIAN;2006;22
1;MARIAN;2007;20
1;MARIAN;2008;23
1;MARIAN;2009;21
1;MARIAN;2010;20
1;MARIAN;2011;26
1;MARIAN;2012;18
1;MARIAN;2013;21
1;MARIAN;2014;19
1;MARIAN;2015;25
1;MARIAN;2016;17
1;MARIAN;2017;20
1;MARIAN;2018;12
1;MARIAN;2019;15
1;MARIAN;2020;18
1;MARIAN;2021;16
1;MARIAN;2022;12
1;MARIAN;XXXX;5
