sexe;preusuel;annais;nombre
1;JEAN;1900;14097
1;JEAN;1901;15634
1;JEAN;1902;16364
1;JEAN;1903;16535
1;JEAN;1904;16944
1;JEAN;1905;17998
1;JEAN;1906;18522
1;JEAN;1907;18475
1;JEAN;1908;19935
1;JEAN;1909;20152
1;JEAN;1910;20710
1;JEAN;1911;20050
1;JEAN;1912;21652
1;JEAN;1913;21898
1;JEAN;1914;22088
1;JEAN;1915;14351
1;JEAN;1916;11274
1;JEAN;1917;12446
1;JEAN;1918;14546
1;JEAN;1919;16331
1;JEAN;1920;28890
1;JEAN;1921;29009
1;JEAN;1922;28519
1;JEAN;1923;29303
1;JEAN;1924;29775
1;JEAN;1925;31193
1;JEAN;1926;31523
1;JEAN;1927;31449
1;JEAN;1928;32110
1;JEAN;1929;32071
1;JEAN;1930;33847
1;JEAN;1931;33463
1;JEAN;1932;33836
1;JEAN;1933;32858
1;JEAN;1934;33518
1;JEAN;1935;32690
1;JEAN;1936;33321
1;JEAN;1937;33689
1;JEAN;1938;35356
1;JEAN;1939;37294
1;JEAN;1940;34879
1;JEAN;1941;33295
1;JEAN;1942;37526
1;JEAN;1943;40742
1;JEAN;1944;40072
1;JEAN;1945;40730
1;JEAN;1946;53502
1;JEAN;1947;51309
1;JEAN;1948;46183
1;JEAN;1949;42770
1;JEAN;1950;38266
1;JEAN;1951;35221
1;JEAN;1952;33904
1;JEAN;1953;29279
1;JEAN;1954;28495
1;JEAN;1955;24790
1;JEAN;1956;23870
1;JEAN;1957;22122
1;JEAN;1958;21056
1;JEAN;1959;20090
1;JEAN;1960;17526
1;JEAN;1961;16031
1;JEAN;1962;14454
1;JEAN;1963;13797
1;JEAN;1964;13353
1;JEAN;1965;10863
1;JEAN;1966;10700
1;JEAN;1967;8948
1;JEAN;1968;8937
1;JEAN;1969;7707
1;JEAN;1970;5550
1;JEAN;1971;4755
1;JEAN;1972;4427
1;JEAN;1973;3788
1;JEAN;1974;3462
1;JEAN;1975;3134
1;JEAN;1976;2763
1;JEAN;1977;2810
1;JEAN;1978;3486
1;JEAN;1979;3410
1;JEAN;1980;3741
1;JEAN;1981;3285
1;JEAN;1982;3419
1;JEAN;1983;3162
1;JEAN;1984;2962
1;JEAN;1985;2971
1;JEAN;1986;2668
1;JEAN;1987;2357
1;JEAN;1988;2115
1;JEAN;1989;1852
1;JEAN;1990;1672
1;JEAN;1991;1466
1;JEAN;1992;1473
1;JEAN;1993;1315
1;JEAN;1994;1350
1;JEAN;1995;1277
1;JEAN;1996;1337
1;JEAN;1997;1187
1;JEAN;1998;1118
1;JEAN;1999;1134
1;JEAN;2000;1007
1;JEAN;2001;1153
1;JEAN;2002;995
1;JEAN;2003;886
1;JEAN;2004;893
1;JEAN;2005;849
1;JEAN;2006;794
1;JEAN;2007;830
1;JEAN;2008;889
1;JEAN;2009;823
1;JEAN;2010;799
1;JEAN;2011;778
1;JEAN;2012;856
1;JEAN;2013;873
1;JEAN;2014;820
1;JEAN;2015;812
1;JEAN;2016;786
1;JEAN;2017;767
1;JEAN;2018;785
1;JEAN;2019;721
1;JEAN;2020;627
1;JEAN;2021;638
1;JEAN;2022;607
