sexe;preusuel;annais;nombre
1;NORI;1972;3
1;NORI;1975;3
1;NORI;1981;3
1;NORI;1982;6
1;NORI;1983;4
1;NORI;1984;4
1;NORI;1985;4
1;NORI;1987;3
1;NORI;1989;3
1;NORI;1990;7
1;NORI;1991;3
1;NORI;1992;3
1;NORI;1995;4
1;NORI;1996;3
1;NORI;1997;4
1;NORI;1998;7
1;NORI;2000;3
1;NORI;2002;5
1;NORI;2004;3
1;NORI;2005;5
1;NORI;2009;3
1;NORI;2010;8
1;NORI;2011;4
1;NORI;2012;4
1;NORI;2013;4
1;NORI;2014;4
1;NORI;2015;7
1;NORI;2016;9
1;NORI;2017;7
1;NORI;2018;9
1;NORI;2019;7
1;NORI;2020;8
1;NORI;2021;5
1;NORI;2022;3
1;NORI;XXXX;35
