sexe;preusuel;annais;nombre
1;EMIR;1970;3
1;EMIR;1972;5
1;EMIR;1973;4
1;EMIR;1974;4
1;EMIR;1975;3
1;EMIR;1976;5
1;EMIR;1977;9
1;EMIR;1978;6
1;EMIR;1979;5
1;EMIR;1980;11
1;EMIR;1981;5
1;EMIR;1982;17
1;EMIR;1983;8
1;EMIR;1984;11
1;EMIR;1985;7
1;EMIR;1986;16
1;EMIR;1987;11
1;EMIR;1988;16
1;EMIR;1989;13
1;EMIR;1990;16
1;EMIR;1991;11
1;EMIR;1992;7
1;EMIR;1993;16
1;EMIR;1994;18
1;EMIR;1995;27
1;EMIR;1996;11
1;EMIR;1997;13
1;EMIR;1998;18
1;EMIR;1999;18
1;EMIR;2000;33
1;EMIR;2001;52
1;EMIR;2002;55
1;EMIR;2003;49
1;EMIR;2004;58
1;EMIR;2005;86
1;EMIR;2006;69
1;EMIR;2007;84
1;EMIR;2008;99
1;EMIR;2009;122
1;EMIR;2010;142
1;EMIR;2011;257
1;EMIR;2012;294
1;EMIR;2013;282
1;EMIR;2014;249
1;EMIR;2015;227
1;EMIR;2016;230
1;EMIR;2017;260
1;EMIR;2018;248
1;EMIR;2019;218
1;EMIR;2020;225
1;EMIR;2021;209
1;EMIR;2022;199
1;EMIR;XXXX;12
