sexe;preusuel;annais;nombre
1;DJIMMY;1970;4
1;DJIMMY;1973;3
1;DJIMMY;1974;8
1;DJIMMY;1975;4
1;DJIMMY;1976;4
1;DJIMMY;1977;3
1;DJIMMY;1978;6
1;DJIMMY;1979;6
1;DJIMMY;1980;5
1;DJIMMY;1981;8
1;DJIMMY;1982;10
1;DJIMMY;1983;5
1;DJIMMY;1984;4
1;DJIMMY;1985;3
1;DJIMMY;1987;5
1;DJIMMY;1988;4
1;DJIMMY;1989;4
1;DJIMMY;1991;3
1;DJIMMY;1992;10
1;DJIMMY;1993;18
1;DJIMMY;1994;17
1;DJIMMY;1995;15
1;DJIMMY;1996;12
1;DJIMMY;1997;11
1;DJIMMY;1998;14
1;DJIMMY;1999;21
1;DJIMMY;2000;13
1;DJIMMY;2001;15
1;DJIMMY;2002;9
1;DJIMMY;2003;9
1;DJIMMY;2004;11
1;DJIMMY;2005;8
1;DJIMMY;2006;7
1;DJIMMY;2007;11
1;DJIMMY;2008;10
1;DJIMMY;2009;12
1;DJIMMY;2010;6
1;DJIMMY;2011;12
1;DJIMMY;2012;6
1;DJIMMY;2013;5
1;DJIMMY;2014;5
1;DJIMMY;2015;4
1;DJIMMY;2016;3
1;DJIMMY;2017;3
1;DJIMMY;2018;8
1;DJIMMY;2019;3
1;DJIMMY;2020;3
1;DJIMMY;XXXX;16
