sexe;preusuel;annais;nombre
1;JEAN-JACK;1939;3
1;JEAN-JACK;1941;3
1;JEAN-JACK;1943;9
1;JEAN-JACK;1944;9
1;JEAN-JACK;1945;9
1;JEAN-JACK;1946;20
1;JEAN-JACK;1947;12
1;JEAN-JACK;1948;28
1;JEAN-JACK;1949;17
1;JEAN-JACK;1950;19
1;JEAN-JACK;1951;19
1;JEAN-JACK;1952;19
1;JEAN-JACK;1953;12
1;JEAN-JACK;1954;11
1;JEAN-JACK;1955;12
1;JEAN-JACK;1956;9
1;JEAN-JACK;1957;12
1;JEAN-JACK;1958;10
1;JEAN-JACK;1959;10
1;JEAN-JACK;1960;9
1;JEAN-JACK;1961;9
1;JEAN-JACK;1964;3
1;JEAN-JACK;1965;7
1;JEAN-JACK;1966;5
1;JEAN-JACK;1969;4
1;JEAN-JACK;1973;3
1;JEAN-JACK;1975;3
1;JEAN-JACK;XXXX;35
