sexe;preusuel;annais;nombre
1;ROY;1922;3
1;ROY;1923;3
1;ROY;1945;3
1;ROY;1949;3
1;ROY;1950;4
1;ROY;1951;3
1;ROY;1953;5
1;ROY;1954;5
1;ROY;1955;7
1;ROY;1956;10
1;ROY;1957;8
1;ROY;1958;9
1;ROY;1959;3
1;ROY;1960;6
1;ROY;1962;9
1;ROY;1963;5
1;ROY;1968;3
1;ROY;1970;4
1;ROY;1975;6
1;ROY;1976;3
1;ROY;1977;4
1;ROY;1978;7
1;ROY;1979;3
1;ROY;1980;9
1;ROY;1981;13
1;ROY;1982;5
1;ROY;1983;10
1;ROY;1984;12
1;ROY;1985;12
1;ROY;1986;10
1;ROY;1987;10
1;ROY;1988;20
1;ROY;1989;17
1;ROY;1990;16
1;ROY;1991;13
1;ROY;1992;15
1;ROY;1993;19
1;ROY;1994;12
1;ROY;1995;13
1;ROY;1996;20
1;ROY;1997;15
1;ROY;1998;16
1;ROY;1999;12
1;ROY;2000;25
1;ROY;2001;14
1;ROY;2002;21
1;ROY;2003;10
1;ROY;2004;13
1;ROY;2005;14
1;ROY;2006;12
1;ROY;2007;20
1;ROY;2008;12
1;ROY;2009;10
1;ROY;2010;12
1;ROY;2011;8
1;ROY;2012;18
1;ROY;2013;18
1;ROY;2014;21
1;ROY;2015;20
1;ROY;2016;18
1;ROY;2017;13
1;ROY;2018;25
1;ROY;2019;19
1;ROY;2020;22
1;ROY;2021;22
1;ROY;2022;21
1;ROY;XXXX;31
