sexe;preusuel;annais;nombre
1;SABRI;1960;3
1;SABRI;1963;4
1;SABRI;1964;5
1;SABRI;1967;5
1;SABRI;1968;6
1;SABRI;1969;7
1;SABRI;1970;14
1;SABRI;1971;16
1;SABRI;1972;29
1;SABRI;1973;23
1;SABRI;1974;19
1;SABRI;1975;25
1;SABRI;1976;30
1;SABRI;1977;40
1;SABRI;1978;59
1;SABRI;1979;44
1;SABRI;1980;44
1;SABRI;1981;68
1;SABRI;1982;67
1;SABRI;1983;54
1;SABRI;1984;67
1;SABRI;1985;66
1;SABRI;1986;70
1;SABRI;1987;58
1;SABRI;1988;74
1;SABRI;1989;64
1;SABRI;1990;73
1;SABRI;1991;72
1;SABRI;1992;89
1;SABRI;1993;80
1;SABRI;1994;71
1;SABRI;1995;91
1;SABRI;1996;172
1;SABRI;1997;165
1;SABRI;1998;147
1;SABRI;1999;199
1;SABRI;2000;207
1;SABRI;2001;226
1;SABRI;2002;187
1;SABRI;2003;176
1;SABRI;2004;195
1;SABRI;2005;187
1;SABRI;2006;212
1;SABRI;2007;150
1;SABRI;2008;156
1;SABRI;2009;144
1;SABRI;2010;137
1;SABRI;2011;112
1;SABRI;2012;107
1;SABRI;2013;122
1;SABRI;2014;78
1;SABRI;2015;88
1;SABRI;2016;72
1;SABRI;2017;73
1;SABRI;2018;55
1;SABRI;2019;58
1;SABRI;2020;35
1;SABRI;2021;29
1;SABRI;2022;33
1;SABRI;XXXX;13
