sexe;preusuel;annais;nombre
1;OZCAN;1975;6
1;OZCAN;1976;5
1;OZCAN;1977;9
1;OZCAN;1978;4
1;OZCAN;1979;3
1;OZCAN;1980;10
1;OZCAN;1981;11
1;OZCAN;1982;13
1;OZCAN;1983;4
1;OZCAN;1984;8
1;OZCAN;1985;8
1;OZCAN;1986;7
1;OZCAN;1987;5
1;OZCAN;1988;7
1;OZCAN;1989;6
1;OZCAN;1990;5
1;OZCAN;1991;4
1;OZCAN;1992;4
1;OZCAN;1993;5
1;OZCAN;1994;8
1;OZCAN;1995;8
1;OZCAN;1996;6
1;OZCAN;1997;6
1;OZCAN;1998;13
1;OZCAN;1999;11
1;OZCAN;2000;10
1;OZCAN;2001;4
1;OZCAN;2002;6
1;OZCAN;2003;7
1;OZCAN;2004;5
1;OZCAN;2005;7
1;OZCAN;2006;4
1;OZCAN;2007;3
1;OZCAN;2008;5
1;OZCAN;2009;4
1;OZCAN;2010;3
1;OZCAN;2011;3
1;OZCAN;XXXX;6
