sexe;preusuel;annais;nombre
2;ELORRI;1983;3
2;ELORRI;1984;9
2;ELORRI;1985;4
2;ELORRI;1986;8
2;ELORRI;1987;4
2;ELORRI;1988;5
2;ELORRI;1989;11
2;ELORRI;1990;9
2;ELORRI;1991;10
2;ELORRI;1992;14
2;ELORRI;1993;11
2;ELORRI;1994;9
2;ELORRI;1995;9
2;ELORRI;1996;14
2;ELORRI;1997;19
2;ELORRI;1998;16
2;ELORRI;1999;23
2;ELORRI;2000;20
2;ELORRI;2001;25
2;ELORRI;2002;15
2;ELORRI;2003;20
2;ELORRI;2004;21
2;ELORRI;2005;16
2;ELORRI;2006;12
2;ELORRI;2007;16
2;ELORRI;2008;14
2;ELORRI;2009;13
2;ELORRI;2010;15
2;ELORRI;2011;11
2;ELORRI;2012;16
2;ELORRI;2013;9
2;ELORRI;2014;14
2;ELORRI;2015;14
2;ELORRI;2016;10
2;ELORRI;2017;12
2;ELORRI;2018;10
2;ELORRI;2019;7
2;ELORRI;2020;7
2;ELORRI;2021;10
2;ELORRI;2022;8
2;ELORRI;XXXX;6
