sexe;preusuel;annais;nombre
2;KATELYNE;1978;5
2;KATELYNE;1979;4
2;KATELYNE;1980;4
2;KATELYNE;1982;5
2;KATELYNE;1987;3
2;KATELYNE;1992;3
2;KATELYNE;1993;3
2;KATELYNE;1994;3
2;KATELYNE;1996;4
2;KATELYNE;1997;4
2;KATELYNE;1999;5
2;KATELYNE;2002;6
2;KATELYNE;2003;5
2;KATELYNE;2004;6
2;KATELYNE;2006;3
2;KATELYNE;2007;11
2;KATELYNE;2008;10
2;KATELYNE;2009;4
2;KATELYNE;2010;4
2;KATELYNE;2011;7
2;KATELYNE;2012;9
2;KATELYNE;2013;12
2;KATELYNE;2014;9
2;KATELYNE;2015;7
2;KATELYNE;2016;9
2;KATELYNE;2017;7
2;KATELYNE;2018;7
2;KATELYNE;2019;4
2;KATELYNE;2020;3
2;KATELYNE;2021;9
2;KATELYNE;2022;3
2;KATELYNE;XXXX;23
