sexe;preusuel;annais;nombre
2;LATEFA;1957;3
2;LATEFA;1959;4
2;LATEFA;1960;4
2;LATEFA;1961;5
2;LATEFA;1962;3
2;LATEFA;1963;5
2;LATEFA;1965;5
2;LATEFA;1966;4
2;LATEFA;1967;7
2;LATEFA;1968;6
2;LATEFA;1969;9
2;LATEFA;1970;4
2;LATEFA;1971;7
2;LATEFA;1972;4
2;LATEFA;1973;5
2;LATEFA;1974;5
2;LATEFA;1975;3
2;LATEFA;1976;7
2;LATEFA;1977;7
2;LATEFA;1978;7
2;LATEFA;1979;3
2;LATEFA;1980;7
2;LATEFA;1981;5
2;LATEFA;1982;4
2;LATEFA;1983;9
2;LATEFA;1984;5
2;LATEFA;1985;3
2;LATEFA;1986;3
2;LATEFA;2001;3
2;LATEFA;XXXX;20
