sexe;preusuel;annais;nombre
2;KRISTEN;1974;6
2;KRISTEN;1976;3
2;KRISTEN;1977;7
2;KRISTEN;1978;9
2;KRISTEN;1979;4
2;KRISTEN;1980;8
2;KRISTEN;1981;7
2;KRISTEN;1982;12
2;KRISTEN;1984;9
2;KRISTEN;1985;11
2;KRISTEN;1986;3
2;KRISTEN;1987;3
2;KRISTEN;1988;6
2;KRISTEN;1991;13
2;KRISTEN;1992;9
2;KRISTEN;1994;6
2;KRISTEN;1995;7
2;KRISTEN;1996;6
2;KRISTEN;1997;5
2;KRISTEN;1998;9
2;KRISTEN;1999;9
2;KRISTEN;2000;6
2;KRISTEN;2001;15
2;KRISTEN;2002;14
2;KRISTEN;2003;11
2;KRISTEN;2004;16
2;KRISTEN;2005;18
2;KRISTEN;2006;10
2;KRISTEN;2007;21
2;KRISTEN;2008;29
2;KRISTEN;2009;21
2;KRISTEN;2010;25
2;KRISTEN;2011;22
2;KRISTEN;2012;21
2;KRISTEN;2013;26
2;KRISTEN;2014;23
2;KRISTEN;2015;19
2;KRISTEN;2016;19
2;KRISTEN;2017;13
2;KRISTEN;2018;11
2;KRISTEN;2019;5
2;KRISTEN;2020;4
2;KRISTEN;2021;3
2;KRISTEN;2022;5
2;KRISTEN;XXXX;23
