sexe;preusuel;annais;nombre
1;NUNZIO;1951;3
1;NUNZIO;1953;3
1;NUNZIO;1955;3
1;NUNZIO;1959;3
1;NUNZIO;1960;7
1;NUNZIO;1961;7
1;NUNZIO;1962;7
1;NUNZIO;1963;5
1;NUNZIO;1964;9
1;NUNZIO;1965;4
1;NUNZIO;1966;3
1;NUNZIO;1967;5
1;NUNZIO;1968;3
1;NUNZIO;1970;4
1;NUNZIO;1972;3
1;NUNZIO;1974;3
1;NUNZIO;1976;3
1;NUNZIO;2005;9
1;NUNZIO;2006;3
1;NUNZIO;2007;6
1;NUNZIO;2010;3
1;NUNZIO;2011;4
1;NUNZIO;2012;5
1;NUNZIO;2013;9
1;NUNZIO;2014;7
1;NUNZIO;2015;6
1;NUNZIO;2016;4
1;NUNZIO;2017;11
1;NUNZIO;2019;6
1;NUNZIO;2020;8
1;NUNZIO;2021;7
1;NUNZIO;2022;8
1;NUNZIO;XXXX;45
