sexe;preusuel;annais;nombre
1;ÉMILIEN;1979;3
1;ÉMILIEN;1980;4
1;ÉMILIEN;1981;7
1;ÉMILIEN;1983;4
1;ÉMILIEN;1984;10
1;ÉMILIEN;1985;4
1;ÉMILIEN;1986;6
1;ÉMILIEN;1988;6
1;ÉMILIEN;1989;10
1;ÉMILIEN;1990;8
1;ÉMILIEN;1991;4
1;ÉMILIEN;1993;4
1;ÉMILIEN;1994;3
1;ÉMILIEN;1996;11
1;ÉMILIEN;1997;8
1;ÉMILIEN;1998;9
1;ÉMILIEN;2010;11
1;ÉMILIEN;2011;20
1;ÉMILIEN;2012;28
1;ÉMILIEN;2013;30
1;ÉMILIEN;2014;33
1;ÉMILIEN;2015;32
1;ÉMILIEN;2016;36
1;ÉMILIEN;2017;32
1;ÉMILIEN;2018;38
1;ÉMILIEN;2019;39
1;ÉMILIEN;2020;33
1;ÉMILIEN;2021;44
1;ÉMILIEN;2022;53
1;ÉMILIEN;XXXX;11
