sexe;preusuel;annais;nombre
1;SEAN;1960;4
1;SEAN;1962;5
1;SEAN;1963;3
1;SEAN;1965;8
1;SEAN;1966;4
1;SEAN;1972;3
1;SEAN;1977;3
1;SEAN;1978;3
1;SEAN;1980;3
1;SEAN;1981;5
1;SEAN;1982;3
1;SEAN;1983;4
1;SEAN;1984;5
1;SEAN;1985;7
1;SEAN;1986;10
1;SEAN;1987;15
1;SEAN;1988;19
1;SEAN;1989;18
1;SEAN;1990;27
1;SEAN;1991;17
1;SEAN;1992;28
1;SEAN;1993;38
1;SEAN;1994;20
1;SEAN;1995;34
1;SEAN;1996;31
1;SEAN;1997;52
1;SEAN;1998;54
1;SEAN;1999;76
1;SEAN;2000;87
1;SEAN;2001;104
1;SEAN;2002;101
1;SEAN;2003;93
1;SEAN;2004;109
1;SEAN;2005;103
1;SEAN;2006;162
1;SEAN;2007;167
1;SEAN;2008;141
1;SEAN;2009;142
1;SEAN;2010;125
1;SEAN;2011;112
1;SEAN;2012;98
1;SEAN;2013;119
1;SEAN;2014;85
1;SEAN;2015;81
1;SEAN;2016;59
1;SEAN;2017;55
1;SEAN;2018;40
1;SEAN;2019;43
1;SEAN;2020;27
1;SEAN;2021;33
1;SEAN;2022;25
1;SEAN;XXXX;22
