sexe;preusuel;annais;nombre
1;ANYS;1984;4
1;ANYS;1987;3
1;ANYS;1989;4
1;ANYS;1991;3
1;ANYS;1992;7
1;ANYS;1993;5
1;ANYS;1994;4
1;ANYS;1995;3
1;ANYS;1996;10
1;ANYS;1997;7
1;ANYS;1998;5
1;ANYS;1999;11
1;ANYS;2000;7
1;ANYS;2001;6
1;ANYS;2002;12
1;ANYS;2003;6
1;ANYS;2004;11
1;ANYS;2005;12
1;ANYS;2006;14
1;ANYS;2007;15
1;ANYS;2008;13
1;ANYS;2009;11
1;ANYS;2010;17
1;ANYS;2011;19
1;ANYS;2012;19
1;ANYS;2013;14
1;ANYS;2014;11
1;ANYS;2015;13
1;ANYS;2016;4
1;ANYS;2017;12
1;ANYS;2018;8
1;ANYS;2019;9
1;ANYS;2020;5
1;ANYS;2021;6
1;ANYS;2022;4
1;ANYS;XXXX;16
