sexe;preusuel;annais;nombre
2;KASSY;1990;3
2;KASSY;1992;5
2;KASSY;1993;6
2;KASSY;1994;4
2;KASSY;1995;5
2;KASSY;1997;9
2;KASSY;1998;11
2;KASSY;1999;14
2;KASSY;2000;18
2;KASSY;2001;25
2;KASSY;2002;32
2;KASSY;2003;34
2;KASSY;2004;28
2;KASSY;2005;30
2;KASSY;2006;31
2;KASSY;2007;57
2;KASSY;2008;42
2;KASSY;2009;41
2;KASSY;2010;48
2;KASSY;2011;61
2;KASSY;2012;42
2;KASSY;2013;51
2;KASSY;2014;60
2;KASSY;2015;43
2;KASSY;2016;51
2;KASSY;2017;43
2;KASSY;2018;54
2;KASSY;2019;50
2;KASSY;2020;59
2;KASSY;2021;56
2;KASSY;2022;43
2;KASSY;XXXX;3
