sexe;preusuel;annais;nombre
1;METIN;1971;3
1;METIN;1974;8
1;METIN;1975;4
1;METIN;1976;10
1;METIN;1977;14
1;METIN;1978;14
1;METIN;1979;15
1;METIN;1980;10
1;METIN;1981;19
1;METIN;1982;19
1;METIN;1983;9
1;METIN;1984;7
1;METIN;1985;5
1;METIN;1986;3
1;METIN;1987;11
1;METIN;1988;13
1;METIN;1989;13
1;METIN;1990;10
1;METIN;1991;4
1;METIN;1992;9
1;METIN;1993;9
1;METIN;1994;11
1;METIN;1995;10
1;METIN;1996;9
1;METIN;1997;13
1;METIN;1998;13
1;METIN;1999;12
1;METIN;2000;11
1;METIN;2001;12
1;METIN;2002;11
1;METIN;2003;12
1;METIN;2004;13
1;METIN;2005;16
1;METIN;2006;12
1;METIN;2007;15
1;METIN;2008;15
1;METIN;2009;7
1;METIN;2010;4
1;METIN;2011;9
1;METIN;2012;4
1;METIN;2013;7
1;METIN;2014;10
1;METIN;2015;10
1;METIN;2016;8
1;METIN;2017;10
1;METIN;2018;5
1;METIN;2019;11
1;METIN;2020;5
1;METIN;2021;6
1;METIN;2022;4
1;METIN;XXXX;5
