sexe;preusuel;annais;nombre
1;CARLOS;1900;6
1;CARLOS;1901;10
1;CARLOS;1902;9
1;CARLOS;1903;7
1;CARLOS;1904;5
1;CARLOS;1905;12
1;CARLOS;1906;6
1;CARLOS;1907;9
1;CARLOS;1908;12
1;CARLOS;1909;14
1;CARLOS;1910;6
1;CARLOS;1911;11
1;CARLOS;1912;8
1;CARLOS;1913;13
1;CARLOS;1914;3
1;CARLOS;1915;9
1;CARLOS;1916;10
1;CARLOS;1917;11
1;CARLOS;1918;6
1;CARLOS;1919;6
1;CARLOS;1920;11
1;CARLOS;1921;11
1;CARLOS;1922;11
1;CARLOS;1923;11
1;CARLOS;1924;17
1;CARLOS;1925;14
1;CARLOS;1926;11
1;CARLOS;1927;16
1;CARLOS;1928;15
1;CARLOS;1929;15
1;CARLOS;1930;11
1;CARLOS;1931;18
1;CARLOS;1932;13
1;CARLOS;1933;12
1;CARLOS;1934;9
1;CARLOS;1935;11
1;CARLOS;1936;4
1;CARLOS;1937;10
1;CARLOS;1938;8
1;CARLOS;1939;28
1;CARLOS;1940;15
1;CARLOS;1941;12
1;CARLOS;1942;9
1;CARLOS;1943;10
1;CARLOS;1944;7
1;CARLOS;1945;11
1;CARLOS;1946;8
1;CARLOS;1947;10
1;CARLOS;1948;21
1;CARLOS;1949;16
1;CARLOS;1950;25
1;CARLOS;1951;27
1;CARLOS;1952;26
1;CARLOS;1953;17
1;CARLOS;1954;32
1;CARLOS;1955;33
1;CARLOS;1956;44
1;CARLOS;1957;42
1;CARLOS;1958;31
1;CARLOS;1959;45
1;CARLOS;1960;43
1;CARLOS;1961;79
1;CARLOS;1962;90
1;CARLOS;1963;123
1;CARLOS;1964;161
1;CARLOS;1965;191
1;CARLOS;1966;265
1;CARLOS;1967;366
1;CARLOS;1968;396
1;CARLOS;1969;522
1;CARLOS;1970;594
1;CARLOS;1971;846
1;CARLOS;1972;841
1;CARLOS;1973;849
1;CARLOS;1974;719
1;CARLOS;1975;561
1;CARLOS;1976;456
1;CARLOS;1977;366
1;CARLOS;1978;312
1;CARLOS;1979;216
1;CARLOS;1980;184
1;CARLOS;1981;160
1;CARLOS;1982;129
1;CARLOS;1983;130
1;CARLOS;1984;89
1;CARLOS;1985;73
1;CARLOS;1986;69
1;CARLOS;1987;42
1;CARLOS;1988;32
1;CARLOS;1989;39
1;CARLOS;1990;34
1;CARLOS;1991;25
1;CARLOS;1992;39
1;CARLOS;1993;23
1;CARLOS;1994;22
1;CARLOS;1995;19
1;CARLOS;1996;23
1;CARLOS;1997;24
1;CARLOS;1998;33
1;CARLOS;1999;26
1;CARLOS;2000;36
1;CARLOS;2001;29
1;CARLOS;2002;26
1;CARLOS;2003;25
1;CARLOS;2004;27
1;CARLOS;2005;22
1;CARLOS;2006;23
1;CARLOS;2007;20
1;CARLOS;2008;33
1;CARLOS;2009;18
1;CARLOS;2010;23
1;CARLOS;2011;23
1;CARLOS;2012;28
1;CARLOS;2013;26
1;CARLOS;2014;27
1;CARLOS;2015;24
1;CARLOS;2016;18
1;CARLOS;2017;27
1;CARLOS;2018;22
1;CARLOS;2019;31
1;CARLOS;2020;26
1;CARLOS;2021;28
1;CARLOS;2022;22
