sexe;preusuel;annais;nombre
2;MAJDELINE;1981;7
2;MAJDELINE;1983;3
2;MAJDELINE;1988;6
2;MAJDELINE;1991;4
2;MAJDELINE;1992;5
2;MAJDELINE;1993;8
2;MAJDELINE;1994;5
2;MAJDELINE;1996;4
2;MAJDELINE;1997;4
2;MAJDELINE;1998;5
2;MAJDELINE;1999;5
2;MAJDELINE;2000;10
2;MAJDELINE;2001;4
2;MAJDELINE;2003;12
2;MAJDELINE;2004;8
2;MAJDELINE;2005;3
2;MAJDELINE;2006;4
2;MAJDELINE;2007;4
2;MAJDELINE;2008;6
2;MAJDELINE;2010;4
2;MAJDELINE;2011;6
2;MAJDELINE;2012;4
2;MAJDELINE;2013;3
2;MAJDELINE;2014;5
2;MAJDELINE;2015;5
2;MAJDELINE;2016;4
2;MAJDELINE;2019;3
2;MAJDELINE;XXXX;23
