sexe;preusuel;annais;nombre
2;GRACIEUSE;1900;49
2;GRACIEUSE;1901;40
2;GRACIEUSE;1902;62
2;GRACIEUSE;1903;52
2;GRACIEUSE;1904;58
2;GRACIEUSE;1905;58
2;GRACIEUSE;1906;68
2;GRACIEUSE;1907;64
2;GRACIEUSE;1908;77
2;GRACIEUSE;1909;90
2;GRACIEUSE;1910;87
2;GRACIEUSE;1911;50
2;GRACIEUSE;1912;50
2;GRACIEUSE;1913;60
2;GRACIEUSE;1914;59
2;GRACIEUSE;1915;48
2;GRACIEUSE;1916;29
2;GRACIEUSE;1917;46
2;GRACIEUSE;1918;32
2;GRACIEUSE;1919;42
2;GRACIEUSE;1920;48
2;GRACIEUSE;1921;56
2;GRACIEUSE;1922;53
2;GRACIEUSE;1923;53
2;GRACIEUSE;1924;50
2;GRACIEUSE;1925;50
2;GRACIEUSE;1926;61
2;GRACIEUSE;1927;56
2;GRACIEUSE;1928;42
2;GRACIEUSE;1929;37
2;GRACIEUSE;1930;46
2;GRACIEUSE;1931;40
2;GRACIEUSE;1932;45
2;GRACIEUSE;1933;42
2;GRACIEUSE;1934;27
2;GRACIEUSE;1935;33
2;GRACIEUSE;1936;37
2;GRACIEUSE;1937;41
2;GRACIEUSE;1938;35
2;GRACIEUSE;1939;34
2;GRACIEUSE;1940;22
2;GRACIEUSE;1941;22
2;GRACIEUSE;1942;21
2;GRACIEUSE;1943;31
2;GRACIEUSE;1944;21
2;GRACIEUSE;1945;28
2;GRACIEUSE;1946;28
2;GRACIEUSE;1947;36
2;GRACIEUSE;1948;32
2;GRACIEUSE;1949;26
2;GRACIEUSE;1950;17
2;GRACIEUSE;1951;25
2;GRACIEUSE;1952;22
2;GRACIEUSE;1953;33
2;GRACIEUSE;1954;27
2;GRACIEUSE;1955;25
2;GRACIEUSE;1956;19
2;GRACIEUSE;1957;21
2;GRACIEUSE;1958;11
2;GRACIEUSE;1959;12
2;GRACIEUSE;1960;7
2;GRACIEUSE;1961;8
2;GRACIEUSE;1962;14
2;GRACIEUSE;1963;16
2;GRACIEUSE;1964;9
2;GRACIEUSE;1965;6
2;GRACIEUSE;1966;5
2;GRACIEUSE;1967;8
2;GRACIEUSE;1968;7
2;GRACIEUSE;1969;3
2;GRACIEUSE;1970;3
2;GRACIEUSE;1971;3
2;GRACIEUSE;1973;5
2;GRACIEUSE;1974;4
2;GRACIEUSE;1975;3
2;GRACIEUSE;1976;4
2;GRACIEUSE;1981;3
2;GRACIEUSE;1984;3
2;GRACIEUSE;1995;3
2;GRACIEUSE;1999;3
2;GRACIEUSE;2013;3
2;GRACIEUSE;XXXX;24
