sexe;preusuel;annais;nombre
2;JANNINE;1915;3
2;JANNINE;1918;3
2;JANNINE;1919;12
2;JANNINE;1920;6
2;JANNINE;1921;18
2;JANNINE;1922;26
2;JANNINE;1923;15
2;JANNINE;1924;29
2;JANNINE;1925;27
2;JANNINE;1926;35
2;JANNINE;1927;39
2;JANNINE;1928;38
2;JANNINE;1929;34
2;JANNINE;1930;30
2;JANNINE;1931;56
2;JANNINE;1932;40
2;JANNINE;1933;27
2;JANNINE;1934;43
2;JANNINE;1935;24
2;JANNINE;1936;36
2;JANNINE;1937;24
2;JANNINE;1938;35
2;JANNINE;1939;35
2;JANNINE;1940;19
2;JANNINE;1941;22
2;JANNINE;1942;23
2;JANNINE;1943;23
2;JANNINE;1944;16
2;JANNINE;1945;21
2;JANNINE;1946;16
2;JANNINE;1947;21
2;JANNINE;1948;17
2;JANNINE;1949;14
2;JANNINE;1950;14
2;JANNINE;1951;12
2;JANNINE;1952;6
2;JANNINE;1953;6
2;JANNINE;1954;4
2;JANNINE;1955;6
2;JANNINE;1956;6
2;JANNINE;1958;3
2;JANNINE;1959;3
2;JANNINE;1960;4
2;JANNINE;1962;4
2;JANNINE;1964;3
2;JANNINE;XXXX;33
