sexe;preusuel;annais;nombre
1;GILDAS;1900;4
1;GILDAS;1901;4
1;GILDAS;1902;3
1;GILDAS;1903;5
1;GILDAS;1904;8
1;GILDAS;1905;8
1;GILDAS;1906;5
1;GILDAS;1907;5
1;GILDAS;1908;6
1;GILDAS;1909;9
1;GILDAS;1910;9
1;GILDAS;1911;7
1;GILDAS;1912;11
1;GILDAS;1913;9
1;GILDAS;1914;12
1;GILDAS;1915;9
1;GILDAS;1916;4
1;GILDAS;1917;10
1;GILDAS;1918;6
1;GILDAS;1919;9
1;GILDAS;1920;9
1;GILDAS;1921;9
1;GILDAS;1922;9
1;GILDAS;1923;12
1;GILDAS;1924;17
1;GILDAS;1925;13
1;GILDAS;1926;4
1;GILDAS;1927;9
1;GILDAS;1928;14
1;GILDAS;1929;14
1;GILDAS;1930;18
1;GILDAS;1931;13
1;GILDAS;1932;23
1;GILDAS;1933;21
1;GILDAS;1934;31
1;GILDAS;1935;26
1;GILDAS;1936;43
1;GILDAS;1937;29
1;GILDAS;1938;27
1;GILDAS;1939;42
1;GILDAS;1940;36
1;GILDAS;1941;16
1;GILDAS;1942;30
1;GILDAS;1943;29
1;GILDAS;1944;38
1;GILDAS;1945;39
1;GILDAS;1946;49
1;GILDAS;1947;74
1;GILDAS;1948;73
1;GILDAS;1949;87
1;GILDAS;1950;95
1;GILDAS;1951;106
1;GILDAS;1952;91
1;GILDAS;1953;73
1;GILDAS;1954;122
1;GILDAS;1955;161
1;GILDAS;1956;144
1;GILDAS;1957;144
1;GILDAS;1958;125
1;GILDAS;1959;129
1;GILDAS;1960;141
1;GILDAS;1961;127
1;GILDAS;1962;142
1;GILDAS;1963;160
1;GILDAS;1964;133
1;GILDAS;1965;130
1;GILDAS;1966;119
1;GILDAS;1967;149
1;GILDAS;1968;133
1;GILDAS;1969;160
1;GILDAS;1970;182
1;GILDAS;1971;205
1;GILDAS;1972;267
1;GILDAS;1973;291
1;GILDAS;1974;253
1;GILDAS;1975;214
1;GILDAS;1976;229
1;GILDAS;1977;197
1;GILDAS;1978;206
1;GILDAS;1979;201
1;GILDAS;1980;194
1;GILDAS;1981;188
1;GILDAS;1982;143
1;GILDAS;1983;137
1;GILDAS;1984;125
1;GILDAS;1985;94
1;GILDAS;1986;117
1;GILDAS;1987;104
1;GILDAS;1988;85
1;GILDAS;1989;69
1;GILDAS;1990;64
1;GILDAS;1991;59
1;GILDAS;1992;52
1;GILDAS;1993;38
1;GILDAS;1994;44
1;GILDAS;1995;42
1;GILDAS;1996;36
1;GILDAS;1997;43
1;GILDAS;1998;26
1;GILDAS;1999;31
1;GILDAS;2000;22
1;GILDAS;2001;25
1;GILDAS;2002;29
1;GILDAS;2003;33
1;GILDAS;2004;33
1;GILDAS;2005;28
1;GILDAS;2006;27
1;GILDAS;2007;17
1;GILDAS;2008;14
1;GILDAS;2009;10
1;GILDAS;2010;10
1;GILDAS;2011;14
1;GILDAS;2012;14
1;GILDAS;2013;8
1;GILDAS;2014;3
1;GILDAS;2017;7
1;GILDAS;2018;5
1;GILDAS;2020;3
1;GILDAS;2021;5
1;GILDAS;XXXX;6
