sexe;preusuel;annais;nombre
2;ZELIHA;1974;4
2;ZELIHA;1975;3
2;ZELIHA;1976;5
2;ZELIHA;1977;8
2;ZELIHA;1978;10
2;ZELIHA;1979;8
2;ZELIHA;1980;10
2;ZELIHA;1981;5
2;ZELIHA;1982;5
2;ZELIHA;1983;8
2;ZELIHA;1984;10
2;ZELIHA;1985;7
2;ZELIHA;1986;9
2;ZELIHA;1987;12
2;ZELIHA;1988;12
2;ZELIHA;1989;9
2;ZELIHA;1990;21
2;ZELIHA;1991;13
2;ZELIHA;1992;17
2;ZELIHA;1993;10
2;ZELIHA;1994;16
2;ZELIHA;1995;6
2;ZELIHA;1996;11
2;ZELIHA;1997;8
2;ZELIHA;1998;13
2;ZELIHA;1999;10
2;ZELIHA;2000;17
2;ZELIHA;2001;21
2;ZELIHA;2002;15
2;ZELIHA;2003;19
2;ZELIHA;2004;20
2;ZELIHA;2005;18
2;ZELIHA;2006;18
2;ZELIHA;2007;17
2;ZELIHA;2008;18
2;ZELIHA;2009;19
2;ZELIHA;2010;22
2;ZELIHA;2011;25
2;ZELIHA;2012;19
2;ZELIHA;2013;15
2;ZELIHA;2014;29
2;ZELIHA;2015;25
2;ZELIHA;2016;19
2;ZELIHA;2017;15
2;ZELIHA;2018;14
2;ZELIHA;2019;14
2;ZELIHA;2020;11
2;ZELIHA;2021;12
2;ZELIHA;2022;11
2;ZELIHA;XXXX;3
