sexe;preusuel;annais;nombre
1;VADIM;1967;3
1;VADIM;1968;3
1;VADIM;1969;5
1;VADIM;1971;4
1;VADIM;1972;8
1;VADIM;1973;3
1;VADIM;1974;5
1;VADIM;1975;6
1;VADIM;1976;8
1;VADIM;1977;5
1;VADIM;1978;10
1;VADIM;1979;5
1;VADIM;1980;9
1;VADIM;1981;7
1;VADIM;1982;6
1;VADIM;1983;7
1;VADIM;1984;7
1;VADIM;1985;3
1;VADIM;1986;14
1;VADIM;1987;7
1;VADIM;1988;14
1;VADIM;1989;22
1;VADIM;1990;16
1;VADIM;1991;24
1;VADIM;1992;13
1;VADIM;1993;15
1;VADIM;1994;13
1;VADIM;1995;13
1;VADIM;1996;21
1;VADIM;1997;13
1;VADIM;1998;19
1;VADIM;1999;19
1;VADIM;2000;35
1;VADIM;2001;43
1;VADIM;2002;44
1;VADIM;2003;60
1;VADIM;2004;81
1;VADIM;2005;61
1;VADIM;2006;92
1;VADIM;2007;98
1;VADIM;2008;90
1;VADIM;2009;136
1;VADIM;2010;165
1;VADIM;2011;175
1;VADIM;2012;179
1;VADIM;2013;160
1;VADIM;2014;158
1;VADIM;2015;177
1;VADIM;2016;177
1;VADIM;2017;161
1;VADIM;2018;166
1;VADIM;2019;144
1;VADIM;2020;150
1;VADIM;2021;132
1;VADIM;2022;93
1;VADIM;XXXX;12
