sexe;preusuel;annais;nombre
1;FRITZ;1900;3
1;FRITZ;1901;10
1;FRITZ;1902;12
1;FRITZ;1903;14
1;FRITZ;1904;11
1;FRITZ;1905;13
1;FRITZ;1906;16
1;FRITZ;1907;17
1;FRITZ;1908;22
1;FRITZ;1909;18
1;FRITZ;1910;24
1;FRITZ;1911;18
1;FRITZ;1912;20
1;FRITZ;1913;33
1;FRITZ;1914;27
1;FRITZ;1915;12
1;FRITZ;1916;19
1;FRITZ;1917;5
1;FRITZ;1918;6
1;FRITZ;1919;8
1;FRITZ;1920;5
1;FRITZ;1922;3
1;FRITZ;1924;6
1;FRITZ;1925;8
1;FRITZ;1926;10
1;FRITZ;1927;5
1;FRITZ;1929;3
1;FRITZ;1930;5
1;FRITZ;1932;7
1;FRITZ;1936;5
1;FRITZ;1937;6
1;FRITZ;1939;4
1;FRITZ;1940;4
1;FRITZ;1941;5
1;FRITZ;1942;4
1;FRITZ;1943;5
1;FRITZ;1944;3
1;FRITZ;1949;5
1;FRITZ;1950;6
1;FRITZ;1951;5
1;FRITZ;1953;7
1;FRITZ;1954;5
1;FRITZ;1955;4
1;FRITZ;1956;8
1;FRITZ;1957;6
1;FRITZ;1958;12
1;FRITZ;1959;7
1;FRITZ;1960;11
1;FRITZ;1961;10
1;FRITZ;1962;18
1;FRITZ;1963;6
1;FRITZ;1964;21
1;FRITZ;1965;11
1;FRITZ;1966;14
1;FRITZ;1967;12
1;FRITZ;1968;14
1;FRITZ;1969;17
1;FRITZ;1970;10
1;FRITZ;1971;19
1;FRITZ;1972;13
1;FRITZ;1973;12
1;FRITZ;1974;16
1;FRITZ;1975;15
1;FRITZ;1976;8
1;FRITZ;1977;6
1;FRITZ;1978;8
1;FRITZ;1979;6
1;FRITZ;1980;8
1;FRITZ;1981;3
1;FRITZ;1982;5
1;FRITZ;1983;9
1;FRITZ;1984;7
1;FRITZ;1985;7
1;FRITZ;1986;7
1;FRITZ;1987;3
1;FRITZ;1988;4
1;FRITZ;1989;4
1;FRITZ;1990;7
1;FRITZ;1991;5
1;FRITZ;1995;3
1;FRITZ;1998;3
1;FRITZ;2002;3
1;FRITZ;2005;4
1;FRITZ;2017;3
1;FRITZ;2021;3
1;FRITZ;XXXX;37
