sexe;preusuel;annais;nombre
2;ANNE-LAURENCE;1954;4
2;ANNE-LAURENCE;1957;3
2;ANNE-LAURENCE;1960;3
2;ANNE-LAURENCE;1961;8
2;ANNE-LAURENCE;1962;7
2;ANNE-LAURENCE;1963;5
2;ANNE-LAURENCE;1964;10
2;ANNE-LAURENCE;1965;23
2;ANNE-LAURENCE;1966;15
2;ANNE-LAURENCE;1967;10
2;ANNE-LAURENCE;1968;10
2;ANNE-LAURENCE;1969;16
2;ANNE-LAURENCE;1970;19
2;ANNE-LAURENCE;1971;19
2;ANNE-LAURENCE;1972;21
2;ANNE-LAURENCE;1973;18
2;ANNE-LAURENCE;1974;15
2;ANNE-LAURENCE;1975;16
2;ANNE-LAURENCE;1976;11
2;ANNE-LAURENCE;1977;9
2;ANNE-LAURENCE;1978;13
2;ANNE-LAURENCE;1980;7
2;ANNE-LAURENCE;1981;14
2;ANNE-LAURENCE;1982;7
2;ANNE-LAURENCE;1983;9
2;ANNE-LAURENCE;1984;7
2;ANNE-LAURENCE;1985;8
2;ANNE-LAURENCE;1986;6
2;ANNE-LAURENCE;1987;4
2;ANNE-LAURENCE;1988;5
2;ANNE-LAURENCE;1989;3
2;ANNE-LAURENCE;1990;3
2;ANNE-LAURENCE;1991;4
2;ANNE-LAURENCE;1993;3
2;ANNE-LAURENCE;1996;3
2;ANNE-LAURENCE;XXXX;20
