sexe;preusuel;annais;nombre
1;PIERRE;1900;7456
1;PIERRE;1901;8450
1;PIERRE;1902;8978
1;PIERRE;1903;9075
1;PIERRE;1904;9215
1;PIERRE;1905;9429
1;PIERRE;1906;9858
1;PIERRE;1907;10076
1;PIERRE;1908;10772
1;PIERRE;1909;10896
1;PIERRE;1910;11156
1;PIERRE;1911;10986
1;PIERRE;1912;11911
1;PIERRE;1913;12208
1;PIERRE;1914;12295
1;PIERRE;1915;7767
1;PIERRE;1916;6060
1;PIERRE;1917;6746
1;PIERRE;1918;7788
1;PIERRE;1919;8656
1;PIERRE;1920;15640
1;PIERRE;1921;15725
1;PIERRE;1922;15078
1;PIERRE;1923;15514
1;PIERRE;1924;15710
1;PIERRE;1925;16094
1;PIERRE;1926;16245
1;PIERRE;1927;16383
1;PIERRE;1928;16296
1;PIERRE;1929;15911
1;PIERRE;1930;16474
1;PIERRE;1931;16074
1;PIERRE;1932;15688
1;PIERRE;1933;14874
1;PIERRE;1934;14670
1;PIERRE;1935;14154
1;PIERRE;1936;13431
1;PIERRE;1937;12861
1;PIERRE;1938;12452
1;PIERRE;1939;11887
1;PIERRE;1940;9985
1;PIERRE;1941;9027
1;PIERRE;1942;9673
1;PIERRE;1943;9864
1;PIERRE;1944;9314
1;PIERRE;1945;8596
1;PIERRE;1946;12394
1;PIERRE;1947;12162
1;PIERRE;1948;11247
1;PIERRE;1949;10794
1;PIERRE;1950;10308
1;PIERRE;1951;9227
1;PIERRE;1952;8742
1;PIERRE;1953;8227
1;PIERRE;1954;7898
1;PIERRE;1955;7652
1;PIERRE;1956;7467
1;PIERRE;1957;7400
1;PIERRE;1958;7295
1;PIERRE;1959;7165
1;PIERRE;1960;6845
1;PIERRE;1961;6501
1;PIERRE;1962;6058
1;PIERRE;1963;6196
1;PIERRE;1964;5752
1;PIERRE;1965;5636
1;PIERRE;1966;5314
1;PIERRE;1967;4894
1;PIERRE;1968;4748
1;PIERRE;1969;4214
1;PIERRE;1970;3748
1;PIERRE;1971;3644
1;PIERRE;1972;3255
1;PIERRE;1973;3026
1;PIERRE;1974;2603
1;PIERRE;1975;2414
1;PIERRE;1976;2444
1;PIERRE;1977;2683
1;PIERRE;1978;3207
1;PIERRE;1979;3600
1;PIERRE;1980;3954
1;PIERRE;1981;3964
1;PIERRE;1982;4288
1;PIERRE;1983;4256
1;PIERRE;1984;4331
1;PIERRE;1985;4735
1;PIERRE;1986;4828
1;PIERRE;1987;5173
1;PIERRE;1988;5563
1;PIERRE;1989;5060
1;PIERRE;1990;5247
1;PIERRE;1991;5455
1;PIERRE;1992;5040
1;PIERRE;1993;4947
1;PIERRE;1994;4820
1;PIERRE;1995;5135
1;PIERRE;1996;4983
1;PIERRE;1997;4662
1;PIERRE;1998;4278
1;PIERRE;1999;4379
1;PIERRE;2000;4160
1;PIERRE;2001;3618
1;PIERRE;2002;2911
1;PIERRE;2003;2650
1;PIERRE;2004;2616
1;PIERRE;2005;2280
1;PIERRE;2006;2005
1;PIERRE;2007;1790
1;PIERRE;2008;1643
1;PIERRE;2009;1400
1;PIERRE;2010;1233
1;PIERRE;2011;1137
1;PIERRE;2012;1075
1;PIERRE;2013;998
1;PIERRE;2014;971
1;PIERRE;2015;790
1;PIERRE;2016;746
1;PIERRE;2017;654
1;PIERRE;2018;588
1;PIERRE;2019;505
1;PIERRE;2020;433
1;PIERRE;2021;395
1;PIERRE;2022;353
